plant,estimator,group,profile,scenario,seed,rmse,rmse_ss,mae,max_err,final_err,conv_time,diverged,rmse_v,ns_per_step,bytes,capacity_err_end,bound_violation,bound_width,real_type
ecm,CoulombCounting,baselines,evtol,nominal,1,0.00276542,0.00355163,0.00246633,0.00442265,-0.00442265,0,0,0.00339874,61.278,2096,nan,nan,nan,float
ecm,OCVLookup,baselines,evtol,nominal,1,0.0153583,0.0131223,0.0128294,0.0426403,0.00259343,0,0,0.0117886,1250.29,2104,nan,nan,nan,float
ecm,CoulombOCVHybrid,baselines,evtol,nominal,1,0.00277644,0.00165855,0.00251712,0.00492591,0.000573516,0,0,0.00177985,189.068,2104,nan,nan,nan,float
ecm,EKF,kalman,evtol,nominal,1,0.00121717,0.000559887,0.000763206,0.0132051,-0.000741899,0,0,0.000791666,359.977,2168,nan,nan,nan,float
ecm,UKF,kalman,evtol,nominal,1,0.00221767,0.000482905,0.0011288,0.0400158,-0.000689477,0.4,0,0.0010819,1058.57,2388,nan,nan,nan,float
ecm,LKF,kalman,evtol,nominal,1,0.0323992,0.0118892,0.0244298,0.0630794,-0.0101902,0,0,0.00112234,293.955,2340,nan,nan,nan,float
ecm,IEKF,kalman,evtol,nominal,1,0.00314314,0.000294537,0.00177471,0.0137793,-0.000472352,0,0,0.000791551,439.262,2168,nan,nan,nan,float
ecm,CKF,kalman,evtol,nominal,1,0.000643726,0.000518564,0.000470003,0.0102014,-0.000713661,0,0,0.000800668,970.62,2280,nan,nan,nan,float
ecm,SCKF,kalman,evtol,nominal,1,0.000643496,0.000521277,0.000471382,0.0102014,-0.000713035,0,0,0.000800662,1327.55,2348,nan,nan,nan,float
ecm,CKF5,kalman,evtol,nominal,1,0.00065276,0.000461422,0.000456537,0.0148168,-0.000685155,0,0,0.000808461,2823.43,2812,nan,nan,nan,float
ecm,CDKF,kalman,evtol,nominal,1,0.000644534,0.000428024,0.000445523,0.0148168,-0.000642374,0,0,0.000808455,1090.41,2156,nan,nan,nan,float
