t,i,v_spm,v_ecm,soc
0.0,0.0000,4.11523,4.11523,0.95000
1.0,0.0000,4.11523,4.11523,0.95000
2.0,0.0000,4.11523,4.11523,0.95000
3.0,0.0000,4.11523,4.11523,0.95000
4.0,0.0000,4.11523,4.11523,0.95000
5.0,0.0000,4.11523,4.11523,0.95000
6.0,0.0000,4.11523,4.11523,0.95000
7.0,0.0000,4.11523,4.11523,0.95000
8.0,0.0000,4.11523,4.11523,0.95000
9.0,0.0000,4.11523,4.11523,0.95000
10.0,0.0000,4.11523,4.11523,0.95000
11.0,0.0000,4.11523,4.11523,0.95000
12.0,0.0000,4.11523,4.11523,0.95000
13.0,0.0000,4.11523,4.11523,0.95000
14.0,0.0000,4.11523,4.11523,0.95000
15.0,0.0000,4.11523,4.11523,0.95000
16.0,0.0000,4.11523,4.11523,0.95000
17.0,0.0000,4.11523,4.11523,0.95000
18.0,0.0000,4.11523,4.11523,0.95000
19.0,0.0000,4.11523,4.11523,0.95000
20.0,0.0000,4.11523,4.11523,0.95000
21.0,0.0000,4.11523,4.11523,0.95000
22.0,0.0000,4.11523,4.11523,0.95000
23.0,0.0000,4.11523,4.11523,0.95000
24.0,0.0000,4.11523,4.11523,0.95000
25.0,0.0000,4.11523,4.11523,0.95000
26.0,0.0000,4.11523,4.11523,0.95000
27.0,0.0000,4.11523,4.11523,0.95000
28.0,0.0000,4.11523,4.11523,0.95000
29.0,0.0000,4.11523,4.11523,0.95000
30.0,0.0000,4.11523,4.11523,0.95000
31.0,0.0000,4.11523,4.11523,0.95000
32.0,0.0000,4.11523,4.11523,0.95000
33.0,0.0000,4.11523,4.11523,0.95000
34.0,0.0000,4.11523,4.11523,0.95000
35.0,0.0000,4.11523,4.11523,0.95000
36.0,0.0000,4.11523,4.11523,0.95000
37.0,0.0000,4.11523,4.11523,0.95000
38.0,0.0000,4.11523,4.11523,0.95000
39.0,0.0000,4.11523,4.11523,0.95000
40.0,0.0000,4.11523,4.11523,0.95000
41.0,0.0000,4.11523,4.11523,0.95000
42.0,0.0000,4.11523,4.11523,0.95000
43.0,0.0000,4.11523,4.11523,0.95000
44.0,0.0000,4.11523,4.11523,0.95000
45.0,0.0000,4.11523,4.11523,0.95000
46.0,0.0000,4.11523,4.11523,0.95000
47.0,0.0000,4.11523,4.11523,0.95000
48.0,0.0000,4.11523,4.11523,0.95000
49.0,0.0000,4.11523,4.11523,0.95000
50.0,0.0000,4.11523,4.11523,0.95000
51.0,0.0000,4.11523,4.11523,0.95000
52.0,0.0000,4.11523,4.11523,0.95000
53.0,0.0000,4.11523,4.11523,0.95000
54.0,0.0000,4.11523,4.11523,0.95000
55.0,0.0000,4.11523,4.11523,0.95000
56.0,0.0000,4.11523,4.11523,0.95000
57.0,0.0000,4.11523,4.11523,0.95000
58.0,0.0000,4.11523,4.11523,0.95000
59.0,0.0000,4.11523,4.11523,0.95000
60.0,10.0000,4.00807,4.02002,0.95000
61.0,10.0000,4.00619,4.01821,0.94944
62.0,10.0000,4.00474,4.01648,0.94889
63.0,10.0000,4.00360,4.01484,0.94833
64.0,10.0000,4.00266,4.01329,0.94778
65.0,10.0000,4.00187,4.01180,0.94722
66.0,10.0000,4.00120,4.01040,0.94667
67.0,10.0000,4.00062,4.00905,0.94611
68.0,10.0000,4.00011,4.00778,0.94556
69.0,10.0000,3.99966,4.00656,0.94500
70.0,0.0000,4.10236,4.10061,0.94444
71.0,0.0000,4.10317,4.10125,0.94444
72.0,0.0000,4.10382,4.10185,0.94444
73.0,0.0000,4.10435,4.10242,0.94444
74.0,0.0000,4.10479,4.10294,0.94444
75.0,0.0000,4.10517,4.10344,0.94444
76.0,0.0000,4.10549,4.10390,0.94444
77.0,0.0000,4.10578,4.10433,0.94444
78.0,0.0000,4.10604,4.10474,0.94444
79.0,0.0000,4.10627,4.10512,0.94444
80.0,0.0000,4.10647,4.10547,0.94444
81.0,0.0000,4.10666,4.10581,0.94444
82.0,0.0000,4.10684,4.10612,0.94444
83.0,0.0000,4.10699,4.10641,0.94444
84.0,0.0000,4.10714,4.10668,0.94444
85.0,0.0000,4.10728,4.10694,0.94444
86.0,0.0000,4.10741,4.10718,0.94444
87.0,0.0000,4.10752,4.10740,0.94444
88.0,0.0000,4.10764,4.10761,0.94444
89.0,0.0000,4.10774,4.10781,0.94444
90.0,0.0000,4.10784,4.10799,0.94444
91.0,0.0000,4.10793,4.10816,0.94444
92.0,0.0000,4.10802,4.10832,0.94444
93.0,0.0000,4.10811,4.10847,0.94444
94.0,0.0000,4.10818,4.10862,0.94444
95.0,0.0000,4.10826,4.10875,0.94444
96.0,0.0000,4.10833,4.10887,0.94444
97.0,0.0000,4.10840,4.10899,0.94444
98.0,0.0000,4.10847,4.10910,0.94444
99.0,0.0000,4.10853,4.10920,0.94444
100.0,0.0000,4.10859,4.10929,0.94444
101.0,0.0000,4.10865,4.10938,0.94444
102.0,0.0000,4.10871,4.10947,0.94444
103.0,0.0000,4.10876,4.10954,0.94444
104.0,0.0000,4.10881,4.10962,0.94444
105.0,0.0000,4.10886,4.10969,0.94444
106.0,0.0000,4.10891,4.10975,0.94444
107.0,0.0000,4.10895,4.10981,0.94444
108.0,0.0000,4.10900,4.10987,0.94444
109.0,0.0000,4.10904,4.10992,0.94444
110.0,-5.0000,4.16453,4.15757,0.94444
111.0,-5.0000,4.16591,4.15850,0.94472
112.0,-5.0000,4.16711,4.15938,0.94500
113.0,-5.0000,4.16821,4.16022,0.94528
114.0,-5.0000,4.16923,4.16102,0.94556
115.0,-5.0000,4.17019,4.16178,0.94583
116.0,-5.0000,4.17110,4.16251,0.94611
117.0,-5.0000,4.17198,4.16321,0.94639
118.0,-5.0000,4.17283,4.16389,0.94667
119.0,-5.0000,4.17366,4.16453,0.94694
120.0,0.0000,4.11768,4.11754,0.94722
121.0,0.0000,4.11687,4.11725,0.94722
122.0,0.0000,4.11628,4.11697,0.94722
123.0,0.0000,4.11584,4.11671,0.94722
124.0,0.0000,4.11549,4.11646,0.94722
125.0,0.0000,4.11521,4.11624,0.94722
126.0,0.0000,4.11498,4.11602,0.94722
127.0,0.0000,4.11479,4.11582,0.94722
128.0,0.0000,4.11463,4.11564,0.94722
129.0,0.0000,4.11449,4.11546,0.94722
130.0,0.0000,4.11436,4.11530,0.94722
131.0,0.0000,4.11426,4.11514,0.94722
132.0,0.0000,4.11416,4.11500,0.94722
133.0,0.0000,4.11408,4.11486,0.94722
134.0,0.0000,4.11400,4.11474,0.94722
135.0,0.0000,4.11393,4.11462,0.94722
136.0,0.0000,4.11387,4.11451,0.94722
137.0,0.0000,4.11381,4.11441,0.94722
138.0,0.0000,4.11376,4.11431,0.94722
139.0,0.0000,4.11372,4.11422,0.94722
140.0,0.0000,4.11367,4.11414,0.94722
141.0,0.0000,4.11363,4.11406,0.94722
142.0,0.0000,4.11360,4.11398,0.94722
143.0,0.0000,4.11357,4.11391,0.94722
144.0,0.0000,4.11353,4.11385,0.94722
145.0,0.0000,4.11351,4.11379,0.94722
146.0,0.0000,4.11348,4.11373,0.94722
147.0,0.0000,4.11345,4.11368,0.94722
148.0,0.0000,4.11343,4.11363,0.94722
149.0,0.0000,4.11341,4.11358,0.94722
150.0,0.0000,4.11339,4.11354,0.94722
151.0,0.0000,4.11337,4.11350,0.94722
152.0,0.0000,4.11335,4.11346,0.94722
153.0,0.0000,4.11334,4.11343,0.94722
154.0,0.0000,4.11332,4.11339,0.94722
155.0,0.0000,4.11331,4.11336,0.94722
156.0,0.0000,4.11330,4.11333,0.94722
157.0,0.0000,4.11328,4.11330,0.94722
158.0,0.0000,4.11327,4.11328,0.94722
159.0,0.0000,4.11326,4.11326,0.94722
160.0,20.0000,3.91906,3.92281,0.94722
161.0,20.0000,3.91687,3.91923,0.94611
162.0,20.0000,3.91538,3.91585,0.94500
163.0,20.0000,3.91434,3.91265,0.94389
164.0,20.0000,3.91355,3.90963,0.94278
165.0,0.0000,4.09984,4.09719,0.94167
166.0,0.0000,4.10082,4.09792,0.94167
167.0,0.0000,4.10160,4.09861,0.94167
168.0,0.0000,4.10223,4.09925,0.94167
169.0,0.0000,4.10275,4.09986,0.94167
170.0,0.0000,4.10319,4.10042,0.94167
171.0,0.0000,4.10357,4.10095,0.94167
172.0,0.0000,4.10389,4.10144,0.94167
173.0,0.0000,4.10418,4.10190,0.94167
174.0,0.0000,4.10443,4.10234,0.94167
175.0,0.0000,4.10466,4.10274,0.94167
176.0,0.0000,4.10486,4.10312,0.94167
177.0,0.0000,4.10505,4.10348,0.94167
178.0,0.0000,4.10522,4.10381,0.94167
179.0,0.0000,4.10537,4.10412,0.94167
180.0,0.0000,4.10552,4.10441,0.94167
181.0,0.0000,4.10565,4.10468,0.94167
182.0,0.0000,4.10577,4.10494,0.94167
183.0,0.0000,4.10589,4.10518,0.94167
184.0,0.0000,4.10599,4.10540,0.94167
185.0,0.0000,4.10609,4.10561,0.94167
186.0,0.0000,4.10619,4.10581,0.94167
187.0,0.0000,4.10628,4.10599,0.94167
188.0,0.0000,4.10636,4.10617,0.94167
189.0,0.0000,4.10644,4.10633,0.94167
190.0,0.0000,4.10652,4.10648,0.94167
191.0,0.0000,4.10659,4.10662,0.94167
192.0,0.0000,4.10666,4.10675,0.94167
193.0,0.0000,4.10672,4.10688,0.94167
194.0,0.0000,4.10679,4.10699,0.94167
195.0,0.0000,4.10685,4.10710,0.94167
196.0,0.0000,4.10690,4.10720,0.94167
197.0,0.0000,4.10696,4.10730,0.94167
198.0,0.0000,4.10701,4.10739,0.94167
199.0,0.0000,4.10706,4.10747,0.94167
200.0,0.0000,4.10711,4.10755,0.94167
201.0,0.0000,4.10716,4.10762,0.94167
202.0,0.0000,4.10720,4.10769,0.94167
203.0,0.0000,4.10725,4.10776,0.94167
204.0,0.0000,4.10729,4.10782,0.94167
205.0,5.0000,4.05264,4.06027,0.94167
206.0,5.0000,4.05191,4.05946,0.94139
207.0,5.0000,4.05131,4.05869,0.94111
208.0,5.0000,4.05082,4.05797,0.94083
209.0,5.0000,4.05040,4.05727,0.94056
210.0,5.0000,4.05003,4.05661,0.94028
211.0,5.0000,4.04970,4.05598,0.94000
212.0,5.0000,4.04940,4.05539,0.93972
213.0,5.0000,4.04914,4.05482,0.93944
214.0,5.0000,4.04889,4.05427,0.93917
215.0,5.0000,4.04866,4.05375,0.93889
216.0,5.0000,4.04844,4.05326,0.93861
217.0,5.0000,4.04824,4.05278,0.93833
218.0,5.0000,4.04805,4.05233,0.93806
219.0,5.0000,4.04788,4.05189,0.93778
220.0,5.0000,4.04771,4.05147,0.93750
221.0,5.0000,4.04755,4.05107,0.93722
222.0,5.0000,4.04739,4.05069,0.93694
223.0,5.0000,4.04725,4.05032,0.93667
224.0,5.0000,4.04711,4.04997,0.93639
225.0,5.0000,4.04697,4.04962,0.93611
226.0,5.0000,4.04684,4.04929,0.93583
227.0,5.0000,4.04672,4.04898,0.93556
228.0,5.0000,4.04660,4.04867,0.93528
229.0,5.0000,4.04648,4.04838,0.93500
230.0,5.0000,4.04637,4.04809,0.93472
231.0,5.0000,4.04627,4.04781,0.93444
232.0,5.0000,4.04616,4.04755,0.93417
233.0,5.0000,4.04606,4.04729,0.93389
234.0,5.0000,4.04596,4.04704,0.93361
235.0,5.0000,4.04587,4.04679,0.93333
236.0,5.0000,4.04577,4.04656,0.93306
237.0,5.0000,4.04568,4.04633,0.93278
238.0,5.0000,4.04559,4.04610,0.93250
239.0,5.0000,4.04551,4.04589,0.93222
240.0,5.0000,4.04542,4.04567,0.93194
241.0,5.0000,4.04534,4.04547,0.93167
242.0,5.0000,4.04526,4.04527,0.93139
243.0,5.0000,4.04518,4.04507,0.93111
244.0,5.0000,4.04510,4.04488,0.93083
245.0,5.0000,4.04503,4.04469,0.93056
246.0,5.0000,4.04495,4.04451,0.93028
247.0,5.0000,4.04488,4.04433,0.93000
248.0,5.0000,4.04481,4.04416,0.92972
249.0,5.0000,4.04473,4.04398,0.92944
250.0,5.0000,4.04466,4.04382,0.92917
251.0,5.0000,4.04460,4.04365,0.92889
252.0,5.0000,4.04453,4.04349,0.92861
253.0,5.0000,4.04446,4.04333,0.92833
254.0,5.0000,4.04439,4.04318,0.92806
255.0,5.0000,4.04433,4.04302,0.92778
256.0,5.0000,4.04426,4.04287,0.92750
257.0,5.0000,4.04420,4.04273,0.92722
258.0,5.0000,4.04414,4.04258,0.92694
259.0,5.0000,4.04407,4.04244,0.92667
260.0,5.0000,4.04401,4.04230,0.92639
261.0,5.0000,4.04395,4.04216,0.92611
262.0,5.0000,4.04389,4.04202,0.92583
263.0,5.0000,4.04382,4.04189,0.92556
264.0,5.0000,4.04376,4.04176,0.92528
265.0,5.0000,4.04370,4.04163,0.92500
266.0,5.0000,4.04364,4.04150,0.92472
267.0,5.0000,4.04358,4.04137,0.92444
268.0,5.0000,4.04352,4.04125,0.92417
269.0,5.0000,4.04346,4.04112,0.92389
270.0,5.0000,4.04340,4.04100,0.92361
271.0,5.0000,4.04334,4.04088,0.92333
272.0,5.0000,4.04328,4.04076,0.92306
273.0,5.0000,4.04323,4.04065,0.92278
274.0,5.0000,4.04317,4.04053,0.92250
275.0,5.0000,4.04311,4.04042,0.92222
276.0,5.0000,4.04305,4.04030,0.92194
277.0,5.0000,4.04299,4.04019,0.92167
278.0,5.0000,4.04293,4.04008,0.92139
279.0,5.0000,4.04287,4.03997,0.92111
280.0,5.0000,4.04281,4.03986,0.92083
281.0,5.0000,4.04275,4.03976,0.92056
282.0,5.0000,4.04269,4.03965,0.92028
283.0,5.0000,4.04263,4.03955,0.92000
284.0,5.0000,4.04257,4.03944,0.91972
285.0,5.0000,4.04251,4.03934,0.91944
286.0,5.0000,4.04245,4.03924,0.91917
287.0,5.0000,4.04239,4.03914,0.91889
288.0,5.0000,4.04233,4.03904,0.91861
289.0,5.0000,4.04227,4.03894,0.91833
290.0,5.0000,4.04221,4.03884,0.91806
291.0,5.0000,4.04214,4.03875,0.91778
292.0,5.0000,4.04208,4.03865,0.91750
293.0,5.0000,4.04202,4.03855,0.91722
294.0,5.0000,4.04196,4.03846,0.91694
295.0,5.0000,4.04189,4.03837,0.91667
296.0,5.0000,4.04183,4.03827,0.91639
297.0,5.0000,4.04176,4.03818,0.91611
298.0,5.0000,4.04170,4.03809,0.91583
299.0,5.0000,4.04163,4.03800,0.91556
300.0,5.0000,4.04157,4.03791,0.91528
301.0,5.0000,4.04150,4.03782,0.91500
302.0,5.0000,4.04144,4.03773,0.91472
303.0,5.0000,4.04137,4.03765,0.91444
304.0,5.0000,4.04130,4.03756,0.91417
305.0,5.0000,4.04123,4.03747,0.91389
306.0,5.0000,4.04117,4.03739,0.91361
307.0,5.0000,4.04110,4.03730,0.91333
308.0,5.0000,4.04103,4.03722,0.91306
309.0,5.0000,4.04096,4.03713,0.91278
310.0,5.0000,4.04089,4.03705,0.91250
311.0,5.0000,4.04081,4.03697,0.91222
312.0,5.0000,4.04074,4.03688,0.91194
313.0,5.0000,4.04067,4.03680,0.91167
314.0,5.0000,4.04060,4.03672,0.91139
315.0,5.0000,4.04052,4.03664,0.91111
316.0,5.0000,4.04045,4.03656,0.91083
317.0,5.0000,4.04037,4.03648,0.91056
318.0,5.0000,4.04030,4.03640,0.91028
319.0,5.0000,4.04022,4.03632,0.91000
320.0,5.0000,4.04015,4.03624,0.90972
321.0,5.0000,4.04007,4.03617,0.90944
322.0,5.0000,4.03999,4.03609,0.90917
323.0,5.0000,4.03991,4.03601,0.90889
324.0,5.0000,4.03983,4.03593,0.90861
325.0,5.0000,4.03975,4.03586,0.90833
326.0,5.0000,4.03967,4.03578,0.90806
327.0,5.0000,4.03959,4.03571,0.90778
328.0,5.0000,4.03951,4.03563,0.90750
329.0,5.0000,4.03942,4.03556,0.90722
330.0,5.0000,4.03934,4.03548,0.90694
331.0,5.0000,4.03926,4.03541,0.90667
332.0,5.0000,4.03917,4.03533,0.90639
333.0,5.0000,4.03908,4.03526,0.90611
334.0,5.0000,4.03900,4.03518,0.90583
335.0,5.0000,4.03891,4.03511,0.90556
336.0,5.0000,4.03882,4.03504,0.90528
337.0,5.0000,4.03873,4.03496,0.90500
338.0,5.0000,4.03864,4.03489,0.90472
339.0,5.0000,4.03855,4.03482,0.90444
340.0,5.0000,4.03846,4.03475,0.90417
341.0,5.0000,4.03837,4.03467,0.90389
342.0,5.0000,4.03828,4.03460,0.90361
343.0,5.0000,4.03818,4.03453,0.90333
344.0,5.0000,4.03809,4.03446,0.90306
345.0,5.0000,4.03799,4.03439,0.90278
346.0,5.0000,4.03790,4.03431,0.90250
347.0,5.0000,4.03780,4.03424,0.90222
348.0,5.0000,4.03770,4.03417,0.90194
349.0,5.0000,4.03761,4.03410,0.90167
350.0,5.0000,4.03751,4.03403,0.90139
351.0,5.0000,4.03741,4.03396,0.90111
352.0,5.0000,4.03731,4.03389,0.90083
353.0,5.0000,4.03720,4.03381,0.90056
354.0,5.0000,4.03710,4.03374,0.90028
355.0,5.0000,4.03700,4.03367,0.90000
356.0,5.0000,4.03689,4.03360,0.89972
357.0,5.0000,4.03679,4.03353,0.89944
358.0,5.0000,4.03668,4.03346,0.89917
359.0,5.0000,4.03658,4.03339,0.89889
360.0,5.0000,4.03647,4.03332,0.89861
361.0,5.0000,4.03636,4.03324,0.89833
362.0,5.0000,4.03625,4.03317,0.89806
363.0,5.0000,4.03614,4.03310,0.89778
364.0,5.0000,4.03603,4.03303,0.89750
365.0,5.0000,4.03592,4.03296,0.89722
366.0,5.0000,4.03581,4.03289,0.89694
367.0,5.0000,4.03569,4.03281,0.89667
368.0,5.0000,4.03558,4.03274,0.89639
369.0,5.0000,4.03547,4.03267,0.89611
370.0,5.0000,4.03535,4.03260,0.89583
371.0,5.0000,4.03523,4.03253,0.89556
372.0,5.0000,4.03512,4.03245,0.89528
373.0,5.0000,4.03500,4.03238,0.89500
374.0,5.0000,4.03488,4.03231,0.89472
375.0,5.0000,4.03476,4.03223,0.89444
376.0,5.0000,4.03464,4.03216,0.89417
