t,gx,gy,gz,ax,ay,az,mx,my,mz,qw,qx,qy,qz,bgx,bgy,bgz
0,0.00804219,-0.00741656,0.00487669,0.274609,-0.277692,-9.87679,19.4357,0.357184,44.5207,0.999868,0.0109992,0.0119152,0.00110024,0.00868002,-0.00517119,0.0035102
0.01,0.010506,-0.00717055,0.00649657,0.266299,-0.216201,-9.78975,19.7838,2.03182,45.0337,0.999868,0.0110036,0.0119148,0.00110006,0.00866874,-0.00509652,0.00347423
0.02,0.00992969,-0.00177704,0.00391956,0.247543,-0.222733,-9.81493,19.655,1.27051,44.1195,0.999868,0.0110123,0.011914,0.00109969,0.0086386,-0.00513051,0.003485
0.03,0.0118049,-0.00730834,0.0026545,0.187223,-0.27642,-9.77534,19.7589,0.723622,43.4908,0.999868,0.0110254,0.0119128,0.00109914,0.00861308,-0.0051307,0.00347238
0.04,0.0118656,-0.00137042,0.00535284,0.304832,-0.209935,-9.74467,19.4039,1.05178,44.2976,0.999867,0.0110428,0.0119112,0.00109842,0.00868455,-0.00515716,0.0035147
0.05,0.0152241,-0.00701733,0.00322055,0.264314,-0.227303,-9.81167,19.4416,0.561795,44.0594,0.999867,0.0110645,0.0119091,0.00109751,0.00865635,-0.005153,0.00355214
0.06,0.015392,-0.00329827,0.00220212,0.183017,-0.289458,-9.82209,19.7934,1.45266,43.9506,0.999867,0.0110904,0.0119065,0.00109643,0.00868316,-0.00512499,0.00354422
0.07,0.014738,-0.00553707,0.00453328,0.271956,-0.153006,-9.68763,20.2482,0.585121,44.4892,0.999867,0.0111204,0.0119034,0.00109517,0.00871293,-0.00512823,0.00356475
0.08,0.0120793,-0.00631945,0.00372501,0.376292,-0.281573,-9.70847,19.9899,0.635691,44.2475,0.999866,0.0111546,0.0118998,0.00109373,0.00869905,-0.00517784,0.00354798
0.09,0.0168319,-0.00797052,0.000243568,0.307458,-0.277286,-9.745,20.0718,0.868228,44.0227,0.999866,0.0111928,0.0118956,0.00109212,0.00869048,-0.00523055,0.00354638
0.1,0.0160341,-0.0088269,0.00216222,0.244936,-0.228224,-9.79415,19.5948,1.83834,43.9998,0.999866,0.011235,0.0118909,0.00109035,0.00868951,-0.00526878,0.0035611
0.11,0.0182686,-0.00735588,0.00664104,0.329942,-0.255808,-9.80614,19.265,0.785457,43.9804,0.999865,0.0112811,0.0118857,0.0010884,0.00871412,-0.00526717,0.00359152
0.12,0.0189823,-0.00300399,0.00420751,0.265772,-0.304016,-9.81151,19.4178,0.422846,43.8716,0.999865,0.0113311,0.0118799,0.00108628,0.00873286,-0.00527765,0.00363511
0.13,0.0194664,-0.00732865,0.00461018,0.321352,-0.338324,-9.75234,19.4343,1.10524,44.0762,0.999864,0.0113849,0.0118734,0.001084,0.00877446,-0.00524487,0.00360876
0.14,0.0209367,-0.00938198,0.005301,0.34457,-0.278635,-9.65567,18.475,0.212495,44.0952,0.999864,0.0114424,0.0118664,0.00108156,0.00878204,-0.00531264,0.00359175
0.15,0.0237818,-0.00712172,0.00246675,0.185453,-0.200363,-9.83778,18.8582,1.40387,43.8922,0.999863,0.0115036,0.0118588,0.00107895,0.00881374,-0.00536452,0.00356584
0.16,0.0232074,-0.00731646,0.000652866,0.411864,-0.289276,-9.83013,19.8748,-0.0599703,43.4683,0.999862,0.0115683,0.0118505,0.00107618,0.00880987,-0.00545389,0.00356365
0.17,0.0189855,-0.00732769,0.00202533,0.259865,-0.274482,-9.75418,19.32,-0.100132,43.4514,0.999862,0.0116364,0.0118415,0.00107325,0.00874374,-0.00543947,0.0036265
0.18,0.0237146,-0.0086923,0.00235482,0.24423,-0.28599,-9.82495,18.7752,0.519342,43.0197,0.999861,0.011708,0.0118319,0.00107017,0.00870087,-0.00543448,0.00361947
0.19,0.0236566,-0.00834902,0.00274715,0.321737,-0.331035,-9.73844,20.0621,0.868455,44.3973,0.99986,0.0117829,0.0118216,0.00106693,0.00872627,-0.00549486,0.00360323
0.2,0.0240952,-0.0102346,0.00626717,0.275159,-0.209996,-9.77335,19.7613,0.715137,44.4176,0.999859,0.011861,0.0118106,0.00106354,0.00872574,-0.00551672,0.00360507
0.21,0.0247568,-0.00831405,0.00404901,0.318054,-0.193742,-9.73999,19.5877,-0.306054,44.565,0.999859,0.0119421,0.0117989,0.00106,0.0087272,-0.00550056,0.00367151
0.22,0.0259302,-0.00846157,0.00343629,0.345229,-0.306339,-9.6701,19.4868,0.399373,44.1639,0.999858,0.0120263,0.0117864,0.00105631,0.00872062,-0.00550881,0.0036302
0.23,0.0276173,-0.00678366,0.00332369,0.24193,-0.278698,-9.72642,19.2522,0.418388,44.0437,0.999857,0.0121135,0.0117733,0.00105248,0.008728,-0.00548673,0.00362105
0.24,0.0279506,-0.00826448,0.00106145,0.321977,-0.346062,-9.70338,18.8696,1.42088,44.226,0.999856,0.0122034,0.0117594,0.0010485,0.00876141,-0.00545239,0.00358229
0.25,0.0291875,-0.00861684,0.00116037,0.261568,-0.348585,-9.76981,19.2007,0.511235,45.5809,0.999855,0.012296,0.0117447,0.00104438,0.00869279,-0.00537793,0.00357599
0.26,0.0293036,-0.00834823,0.00277818,0.334066,-0.202532,-9.71656,20.1997,0.639215,44.4637,0.999854,0.0123912,0.0117293,0.00104013,0.00869065,-0.00536763,0.003539
