SOH-capable estimators: MMAE AdaptiveObserver JointEKF JointUKF DualEKF DualUKF AWTLS 
  MMAE               flight  10: Q_true=4.7389 Ah  Q_est=4.9615 Ah  err=+0.2226  soc_rmse=0.0066
  MMAE               flight  20: Q_true=4.6133 Ah  Q_est=4.5176 Ah  err=-0.0956  soc_rmse=0.0139
  MMAE               flight  30: Q_true=4.5148 Ah  Q_est=4.5441 Ah  err=+0.0293  soc_rmse=0.0100
  MMAE               flight  40: Q_true=4.4306 Ah  Q_est=4.6354 Ah  err=+0.2048  soc_rmse=0.0057
  MMAE               flight  50: Q_true=4.3552 Ah  Q_est=4.6237 Ah  err=+0.2685  soc_rmse=0.0065
  MMAE               flight  60: Q_true=4.2866 Ah  Q_est=4.7226 Ah  err=+0.4360  soc_rmse=0.0165
  MMAE               flight  70: Q_true=4.2226 Ah  Q_est=4.6750 Ah  err=+0.4525  soc_rmse=0.0251
  MMAE               flight  80: Q_true=4.1626 Ah  Q_est=4.6283 Ah  err=+0.4657  soc_rmse=0.0220
  MMAE               flight  90: Q_true=4.1060 Ah  Q_est=4.6217 Ah  err=+0.5157  soc_rmse=0.0197
  MMAE               flight 100: Q_true=4.0520 Ah  Q_est=4.7165 Ah  err=+0.6645  soc_rmse=0.0157
  MMAE               flight 110: Q_true=4.0005 Ah  Q_est=4.8173 Ah  err=+0.8168  soc_rmse=0.0129
  MMAE               flight 120: Q_true=3.9510 Ah  Q_est=4.7689 Ah  err=+0.8179  soc_rmse=0.0107
  AdaptiveObserver   flight  10: Q_true=4.7389 Ah  Q_est=4.9966 Ah  err=+0.2577  soc_rmse=0.0012
  AdaptiveObserver   flight  20: Q_true=4.6133 Ah  Q_est=4.9881 Ah  err=+0.3748  soc_rmse=0.0011
  AdaptiveObserver   flight  30: Q_true=4.5148 Ah  Q_est=4.9758 Ah  err=+0.4611  soc_rmse=0.0013
  AdaptiveObserver   flight  40: Q_true=4.4306 Ah  Q_est=4.9606 Ah  err=+0.5300  soc_rmse=0.0017
  AdaptiveObserver   flight  50: Q_true=4.3552 Ah  Q_est=4.9425 Ah  err=+0.5873  soc_rmse=0.0020
  AdaptiveObserver   flight  60: Q_true=4.2866 Ah  Q_est=4.9215 Ah  err=+0.6349  soc_rmse=0.0021
  AdaptiveObserver   flight  70: Q_true=4.2226 Ah  Q_est=4.8971 Ah  err=+0.6745  soc_rmse=0.0022
  AdaptiveObserver   flight  80: Q_true=4.1626 Ah  Q_est=4.8694 Ah  err=+0.7068  soc_rmse=0.0024
  AdaptiveObserver   flight  90: Q_true=4.1060 Ah  Q_est=4.8393 Ah  err=+0.7333  soc_rmse=0.0025
  AdaptiveObserver   flight 100: Q_true=4.0520 Ah  Q_est=4.8064 Ah  err=+0.7544  soc_rmse=0.0026
  AdaptiveObserver   flight 110: Q_true=4.0005 Ah  Q_est=4.7716 Ah  err=+0.7711  soc_rmse=0.0023
  AdaptiveObserver   flight 120: Q_true=3.9510 Ah  Q_est=4.7361 Ah  err=+0.7851  soc_rmse=0.0019
  JointEKF           flight  10: Q_true=4.7389 Ah  Q_est=4.7837 Ah  err=+0.0448  soc_rmse=0.0009
  JointEKF           flight  20: Q_true=4.6133 Ah  Q_est=4.6528 Ah  err=+0.0395  soc_rmse=0.0009
  JointEKF           flight  30: Q_true=4.5148 Ah  Q_est=4.5476 Ah  err=+0.0328  soc_rmse=0.0007
  JointEKF           flight  40: Q_true=4.4306 Ah  Q_est=4.4604 Ah  err=+0.0299  soc_rmse=0.0007
  JointEKF           flight  50: Q_true=4.3552 Ah  Q_est=4.3812 Ah  err=+0.0260  soc_rmse=0.0009
  JointEKF           flight  60: Q_true=4.2866 Ah  Q_est=4.3100 Ah  err=+0.0234  soc_rmse=0.0010
  JointEKF           flight  70: Q_true=4.2226 Ah  Q_est=4.2430 Ah  err=+0.0204  soc_rmse=0.0012
  JointEKF           flight  80: Q_true=4.1626 Ah  Q_est=4.1814 Ah  err=+0.0188  soc_rmse=0.0013
  JointEKF           flight  90: Q_true=4.1060 Ah  Q_est=4.1248 Ah  err=+0.0188  soc_rmse=0.0014
  JointEKF           flight 100: Q_true=4.0520 Ah  Q_est=4.0715 Ah  err=+0.0194  soc_rmse=0.0015
  JointEKF           flight 110: Q_true=4.0005 Ah  Q_est=4.0208 Ah  err=+0.0203  soc_rmse=0.0015
  JointEKF           flight 120: Q_true=3.9510 Ah  Q_est=3.9716 Ah  err=+0.0206  soc_rmse=0.0016
  JointUKF           flight  10: Q_true=4.7389 Ah  Q_est=4.7859 Ah  err=+0.0470  soc_rmse=0.0010
  JointUKF           flight  20: Q_true=4.6133 Ah  Q_est=4.6562 Ah  err=+0.0430  soc_rmse=0.0009
  JointUKF           flight  30: Q_true=4.5148 Ah  Q_est=4.5500 Ah  err=+0.0352  soc_rmse=0.0008
  JointUKF           flight  40: Q_true=4.4306 Ah  Q_est=4.4640 Ah  err=+0.0334  soc_rmse=0.0006
  JointUKF           flight  50: Q_true=4.3552 Ah  Q_est=4.3831 Ah  err=+0.0279  soc_rmse=0.0007
  JointUKF           flight  60: Q_true=4.2866 Ah  Q_est=4.3115 Ah  err=+0.0249  soc_rmse=0.0008
