t,i_meas,v_meas,T_true,soc_true,soc_est,soc_std,v_pred,soc_lower,soc_upper,capacity_est,capacity_true,v_true
0,-5.02,3.555,298.15,0.2,0.2,-1,3.55575,nan,nan,nan,5,3.55089
1,-5,3.555,298.151,0.200276,0.200277,-1,3.56158,nan,nan,nan,4.99986,3.55701
2,-5,3.563,298.152,0.200553,0.200554,-1,3.56702,nan,nan,nan,4.99978,3.56215
3,-4.97,3.566,298.154,0.200829,0.20083,-1,3.5706,nan,nan,nan,4.99972,3.56647
4,-5,3.572,298.156,0.201106,0.201106,-1,3.5743,nan,nan,nan,4.99967,3.57013
5,-4.95,3.572,298.158,0.201382,0.201383,-1,3.57726,nan,nan,nan,4.99962,3.57324
6,-5.07,3.574,298.161,0.201658,0.201661,-1,3.58087,nan,nan,nan,4.99958,3.5759
7,-4.99,3.577,298.163,0.201935,0.201939,-1,3.5828,nan,nan,nan,4.99954,3.5782
8,-5.1,3.577,298.166,0.202211,0.202218,-1,3.58585,nan,nan,nan,4.9995,3.58019
9,-4.99,3.578,298.169,0.202488,0.202495,-1,3.58662,nan,nan,nan,4.99946,3.58193
10,-4.99,3.582,298.172,0.202764,0.20277,-1,3.58746,nan,nan,nan,4.99943,3.58348
11,-4.99,3.587,298.174,0.203041,0.203045,-1,3.58906,nan,nan,nan,4.9994,3.58485
12,-5.03,3.586,298.177,0.203317,0.20332,-1,3.59079,nan,nan,nan,4.99936,3.58609
13,-5.02,3.587,298.181,0.203593,0.203598,-1,3.59172,nan,nan,nan,4.99933,3.58721
14,-5.03,3.589,298.184,0.20387,0.203875,-1,3.59197,nan,nan,nan,4.99931,3.58824
15,-5.02,3.587,298.187,0.204146,0.204151,-1,3.59305,nan,nan,nan,4.99928,3.5892
16,-4.97,3.59,298.19,0.204423,0.204429,-1,3.59421,nan,nan,nan,4.99925,3.59008
17,-5.02,3.594,298.193,0.204699,0.204705,-1,3.59529,nan,nan,nan,4.99922,3.59092
18,-5,3.592,298.196,0.204976,0.204982,-1,3.59565,nan,nan,nan,4.9992,3.59171
19,-4.92,3.592,298.2,0.205252,0.205259,-1,3.59565,nan,nan,nan,4.99917,3.59247
20,-4.96,3.596,298.203,0.205528,0.205534,-1,3.59637,nan,nan,nan,4.99915,3.59319
21,-5.09,3.593,298.206,0.205805,0.205811,-1,3.59923,nan,nan,nan,4.99912,3.59389
22,-5.01,3.596,298.21,0.206081,0.206087,-1,3.59751,nan,nan,nan,4.9991,3.59457
23,-5.05,3.597,298.213,0.206358,0.206365,-1,3.599,nan,nan,nan,4.99908,3.59523
24,-5,3.595,298.216,0.206634,0.20664,-1,3.5997,nan,nan,nan,4.99905,3.59587
25,-4.93,3.598,298.22,0.206911,0.206918,-1,3.59908,nan,nan,nan,4.99903,3.5965
26,-4.96,3.599,298.223,0.207187,0.207193,-1,3.60051,nan,nan,nan,4.99901,3.59712
27,-4.95,3.597,298.226,0.207463,0.20747,-1,3.60048,nan,nan,nan,4.99899,3.59773
28,-5.01,3.6,298.23,0.20774,0.207746,-1,3.60142,nan,nan,nan,4.99897,3.59833
29,-5.03,3.597,298.233,0.208016,0.208023,-1,3.60346,nan,nan,nan,4.99895,3.59892
30,-4.98,3.601,298.237,0.208293,0.208298,-1,3.60243,nan,nan,nan,4.99893,3.59951
31,-4.89,3.598,298.24,0.208569,0.208574,-1,3.60151,nan,nan,nan,4.99891,3.60009
32,-5.07,3.602,298.244,0.208846,0.208851,-1,3.60484,nan,nan,nan,4.99889,3.60066
33,-5.04,3.602,298.247,0.209122,0.209128,-1,3.60475,nan,nan,nan,4.99887,3.60123
34,-4.92,3.599,298.251,0.209399,0.209406,-1,3.60411,nan,nan,nan,4.99885,3.60179
35,-4.97,3.599,298.254,0.209675,0.209682,-1,3.60503,nan,nan,nan,4.99883,3.60235
36,-5.01,3.603,298.258,0.209952,0.209958,-1,3.60631,nan,nan,nan,4.99881,3.60291
37,-4.92,3.604,298.261,0.210228,0.210235,-1,3.60572,nan,nan,nan,4.99879,3.60346
38,-5.02,3.606,298.265,0.210504,0.210511,-1,3.60752,nan,nan,nan,4.99877,3.60401
39,-4.94,3.607,298.268,0.210781,0.210788,-1,3.60613,nan,nan,nan,4.99875,3.60455
40,-4.98,3.602,298.272,0.211057,0.211064,-1,3.60787,nan,nan,nan,4.99874,3.60509
41,-4.94,3.604,298.275,0.211334,0.21134,-1,3.60693,nan,nan,nan,4.99872,3.60563
42,-5,3.607,298.279,0.21161,0.211616,-1,3.60867,nan,nan,nan,4.9987,3.60616
43,-4.97,3.604,298.282,0.211887,0.211893,-1,3.6091,nan,nan,nan,4.99868,3.60669
