t,i_meas,v_meas,T_true,soc_true,soc_est,soc_std,v_pred,soc_lower,soc_upper,capacity_est,capacity_true,v_true
0,1.02,4.113,298.15,0.95,0.95,-1,4.10305,nan,nan,nan,5,4.10814
1,1.04,4.105,298.15,0.949944,0.949943,-1,4.10158,nan,nan,nan,4.99994,4.10689
2,1.05,4.106,298.151,0.949887,0.949885,-1,4.10034,nan,nan,nan,4.99991,4.10571
3,1.08,4.105,298.151,0.949831,0.949827,-1,4.09914,nan,nan,nan,4.99988,4.10495
4,1.05,4.106,298.151,0.949775,0.949769,-1,4.09879,nan,nan,nan,4.99986,4.10413
5,1.14,4.102,298.152,0.949718,0.94971,-1,4.09696,nan,nan,nan,4.99984,4.10295
6,0.97,4.101,298.152,0.94966,0.949652,-1,4.09853,nan,nan,nan,4.99982,4.10297
7,1.07,4.101,298.153,0.949603,0.949596,-1,4.09682,nan,nan,nan,4.99981,4.10235
8,0.96,4.099,298.153,0.949546,0.949539,-1,4.09778,nan,nan,nan,4.99979,4.1018
9,1.07,4.098,298.153,0.949488,0.949481,-1,4.09602,nan,nan,nan,4.99978,4.10148
10,1.08,4.099,298.154,0.949431,0.94942,-1,4.09563,nan,nan,nan,4.99976,4.10099
11,1.06,4.103,298.154,0.949374,0.94936,-1,4.09551,nan,nan,nan,4.99975,4.1009
12,1.02,4.101,298.155,0.949316,0.9493,-1,4.09569,nan,nan,nan,4.99973,4.10081
13,1.05,4.1,298.155,0.949259,0.949243,-1,4.09516,nan,nan,nan,4.99972,4.10031
14,1.02,4.101,298.155,0.949202,0.949185,-1,4.09545,nan,nan,nan,4.99971,4.10027
15,1.01,4.098,298.156,0.949144,0.949125,-1,4.09531,nan,nan,nan,4.9997,4.10028
16,1.04,4.1,298.156,0.94909,0.949069,-1,4.09469,nan,nan,nan,4.99969,4.10046
17,0.95,4.104,298.157,0.949036,0.949014,-1,4.09571,nan,nan,nan,4.99968,4.10074
18,1.02,4.1,298.157,0.948983,0.94896,-1,4.09483,nan,nan,nan,4.99967,4.10016
19,1.08,4.1,298.157,0.94893,0.948905,-1,4.09396,nan,nan,nan,4.99966,4.10018
20,1.05,4.103,298.158,0.948876,0.948849,-1,4.09426,nan,nan,nan,4.99965,4.10005
21,0.88,4.099,298.158,0.948821,0.948793,-1,4.09609,nan,nan,nan,4.99964,4.10027
22,0.96,4.102,298.158,0.948769,0.948739,-1,4.09525,nan,nan,nan,4.99963,4.10033
23,0.85,4.103,298.159,0.948718,0.948688,-1,4.09649,nan,nan,nan,4.99962,4.10108
