estimator,flight,Q_true,Q_est,Q_err,soc_rmse_flight,ah_throughput
MMAE,1,4.95004,4.982,0.0319563,0.00465682,7.90273
MMAE,2,4.90434,4.98487,0.0805275,0.000523564,15.506
MMAE,3,4.87365,4.98487,0.111219,0.00199576,23.0697
MMAE,4,4.84828,4.9847,0.136422,0.00271957,30.6549
MMAE,5,4.82621,4.98435,0.158142,0.00378882,38.1496
MMAE,6,4.80627,4.98373,0.177453,0.00435501,45.6697
MMAE,7,4.78792,4.98304,0.195126,0.0053017,53.1846
MMAE,8,4.77063,4.98074,0.210106,0.00637788,60.7785
MMAE,9,4.75429,4.97307,0.218778,0.00631855,68.3705
MMAE,10,4.7389,4.96148,0.222575,0.00656499,75.894
MMAE,11,4.7242,4.94044,0.216234,0.00698486,83.4926
MMAE,12,4.71019,4.86147,0.151275,0.00666676,91.0033
MMAE,13,4.69676,4.64368,-0.0530776,0.00661912,98.5172
MMAE,14,4.68371,4.5122,-0.17151,0.0161063,106.105
MMAE,15,4.67106,4.51119,-0.159874,0.0168723,113.663
MMAE,16,4.65885,4.51068,-0.148166,0.0166037,121.223
MMAE,17,4.64698,4.50979,-0.137192,0.0158814,128.773
MMAE,18,4.63541,4.51208,-0.123326,0.015145,136.344
MMAE,19,4.62426,4.50913,-0.115124,0.0150181,143.811
MMAE,20,4.61327,4.51763,-0.0956452,0.0138517,151.403
MMAE,21,4.60251,4.51525,-0.0872683,0.0136799,158.975
MMAE,22,4.59198,4.51584,-0.0761369,0.0134544,166.553
MMAE,23,4.58173,4.51188,-0.0698442,0.0129177,174.057
MMAE,24,4.57167,4.515,-0.0566694,0.0119153,181.614
MMAE,25,4.56173,4.52152,-0.0402092,0.0118559,189.225
MMAE,26,4.55203,4.51728,-0.0347432,0.0114151,196.723
MMAE,27,4.54253,4.51821,-0.0243185,0.0106791,204.251
MMAE,28,4.53314,4.5172,-0.0159429,0.0107833,211.803
MMAE,29,4.5239,4.5282,0.00429771,0.00957533,219.361
MMAE,30,4.51476,4.54408,0.0293238,0.00999042,226.967
MMAE,31,4.50582,4.52043,0.0146032,0.00912832,234.495
MMAE,32,4.49706,4.51545,0.0183898,0.00888308,241.991
MMAE,33,4.48836,4.55144,0.0630835,0.00836597,249.556
MMAE,34,4.47968,4.53594,0.0562542,0.00814083,257.186
MMAE,35,4.47118,4.53677,0.0655873,0.00786938,264.745
MMAE,36,4.46283,4.53291,0.0700769,0.00680926,272.267
MMAE,37,4.45471,4.5394,0.0846959,0.00725127,279.697
MMAE,38,4.44663,4.58221,0.135575,0.0064617,287.232
MMAE,39,4.4386,4.54744,0.108832,0.00586907,294.752
