plant,estimator,group,profile,scenario,seed,rmse,rmse_ss,mae,max_err,final_err,conv_time,diverged,rmse_v,ns_per_step,bytes,capacity_err_end,bound_violation,bound_width,real_type
ecm,CoulombCounting,baselines,evtol,nominal,1,0.00277138,0.00355927,0.00247159,0.00443065,-0.00443065,0,0,0.00340291,78.7773,4184,nan,nan,nan,double
ecm,OCVLookup,baselines,evtol,nominal,1,0.0153592,0.013122,0.0128298,0.0426444,0.00259155,0,0,0.0117887,1309.55,4192,nan,nan,nan,double
ecm,CoulombOCVHybrid,baselines,evtol,nominal,1,0.00277808,0.001657,0.00251776,0.00493218,0.000571711,0,0,0.00178049,210.992,4192,nan,nan,nan,double
ecm,EKF,kalman,evtol,nominal,1,0.00131538,0.000559237,0.000791801,0.0131962,-0.000746449,0,0,0.000791586,480.556,4336,nan,nan,nan,double
ecm,UKF,kalman,evtol,nominal,1,0.00220111,0.000425253,0.00111323,0.0400167,-0.000659761,0.4,0,0.00108186,1444.76,4776,nan,nan,nan,double
ecm,LKF,kalman,evtol,nominal,1,0.0323967,0.0118853,0.0244269,0.0630802,-0.0101933,0,0,0.00112211,333.555,4680,nan,nan,nan,double
ecm,IEKF,kalman,evtol,nominal,1,0.00531638,0.00133868,0.00372443,0.0149121,0.000250139,0,0,0.000794912,595.989,4336,nan,nan,nan,double
ecm,CKF,kalman,evtol,nominal,1,0.000644927,0.000520435,0.000469459,0.010206,-0.000717884,0,0,0.000800653,1251.79,4560,nan,nan,nan,double
ecm,SCKF,kalman,evtol,nominal,1,0.000644927,0.000520435,0.000469459,0.010206,-0.000717884,0,0,0.000800653,1581.13,4696,nan,nan,nan,double
ecm,CKF5,kalman,evtol,nominal,1,0.000670086,0.000504954,0.000476707,0.0148211,-0.000726924,0,0,0.000808462,4041.97,5624,nan,nan,nan,double
ecm,CDKF,kalman,evtol,nominal,1,0.000670086,0.000504954,0.000476707,0.0148211,-0.000726924,0,0,0.000808462,1379.35,4312,nan,nan,nan,double
ecm,GHKF,kalman,evtol,nominal,1,0.000670086,0.000504954,0.000476707,0.0148211,-0.000726924,0,0,0.000808462,11944.7,10784,nan,nan,nan,double
ecm,IPLF,kalman,evtol,nominal,1,0.00521255,0.000666603,0.00299546,0.0346797,-0.000144109,0.3,0,0.00109318,2016.72,4784,nan,nan,nan,double
ecm,EIF,kalman,evtol,nominal,1,0.00131538,0.000559237,0.000791801,0.0131962,-0.000746449,0,0,0.000791586,1220.95,4472,nan,nan,nan,double
ecm,SR-EKF,kalman,evtol,nominal,1,0.00131538,0.000559237,0.000791801,0.0131962,-0.000746449,0,0,0.000791586,821.162,4440,nan,nan,nan,double
ecm,SR-UKF,kalman,evtol,nominal,1,0.00220111,0.000425253,0.00111323,0.0400167,-0.000659761,0.4,0,0.00108186,1557.66,4896,nan,nan,nan,double
ecm,UD-EKF,kalman,evtol,nominal,1,0.00131538,0.000559237,0.000791801,0.0131962,-0.000746449,0,0,0.000791586,484.832,4480,nan,nan,nan,double
ecm,SO-EKF,kalman,evtol,nominal,1,0.00299008,0.000294019,0.00171828,0.0391218,-0.000464696,0.4,0,0.00104519,4201.71,4496,nan,nan,nan,double
ecm,SageHusa-AKF,adaptive_kalman,evtol,nominal,1,0.00140587,0.000465442,0.000885979,0.0131962,-0.000657492,0,0,0.000790335,546.114,4808,nan,nan,nan,double
ecm,IAE-AKF,adaptive_kalman,evtol,nominal,1,0.00242409,0.000292716,0.00148664,0.0131962,-0.000445382,0,0,0.00079085,501.187,5040,nan,nan,nan,double
ecm,VB-AKF,adaptive_kalman,evtol,nominal,1,0.0013929,0.000488104,0.000876712,0.0131962,-0.000706052,0,0,0.000789386,879.967,4408,nan,nan,nan,double
ecm,STF,adaptive_kalman,evtol,nominal,1,0.00236532,0.000938353,0.0014772,0.0305789,-0.000898339,0,0,0.000903069,539.602,4680,nan,nan,nan,double
ecm,Fading-EKF,adaptive_kalman,evtol,nominal,1,0.00194693,0.000559516,0.00125797,0.0131962,0.000380075,0,0,0.000773192,502.712,4384,nan,nan,nan,double
ecm,Fuzzy-AKF,adaptive_kalman,evtol,nominal,1,0.00122288,0.000438818,0.000751339,0.0131962,-0.000589978,0,0,0.000790192,726.903,4816,nan,nan,nan,double
ecm,IMM,adaptive_kalman,evtol,nominal,1,0.00121254,0.000596446,0.000745913,0.0125792,-0.000794638,0,0,0.000791176,2076.26,4976,nan,nan,nan,double
ecm,MMAE,adaptive_kalman,evtol,nominal,1,0.00426058,0.00327172,0.00404589,0.0131962,-0.00166712,0,0,0.000800432,1752.05,13200,-0.000721937,nan,nan,double
ecm,Schmidt-KF,robust_kalman,evtol,nominal,1,0.0039036,0.00511204,0.00332698,0.0131824,-0.00593957,0,0,0.00378412,1293.13,8856,nan,nan,nan,double
ecm,Hinf-EKF,robust_kalman,evtol,nominal,1,0.000934897,0.00029506,0.00049492,0.0132241,-0.000512344,0,0,0.000791881,802.851,4408,nan,nan,nan,double
ecm,Huber-EKF,robust_kalman,evtol,nominal,1,0.00109221,0.000585179,0.000678704,0.0131962,-0.000728015,0,0,0.000780151,645.374,4368,nan,nan,nan,double
ecm,MC-EKF,robust_kalman,evtol,nominal,1,0.00111442,0.00076368,0.000829322,0.0131962,-0.000914646,0,0,0.00078701,1000.63,4384,nan,nan,nan,double
ecm,StudentT-KF,robust_kalman,evtol,nominal,1,0.00107081,0.000433486,0.000715954,0.0131962,-0.000627599,0,0,0.000766248,695.806,4568,nan,nan,nan,double
ecm,Constrained-EKF,robust_kalman,evtol,nominal,1,0.00131649,0.000564339,0.000794848,0.0131962,-0.000747384,0,0,0.000791591,586.408,4416,nan,nan,nan,double
ecm,ReducedOrder-EKF,robust_kalman,evtol,nominal,1,0.00230164,0.000759964,0.00149936,0.0132455,0.000585696,0,0,0.000745653,332.381,4272,nan,nan,nan,double
ecm,SVSF,robust_kalman,evtol,nominal,1,0.00183736,0.000409842,0.00102846,0.00678109,-0.000609971,0,0,0.000771212,584.268,4376,nan,nan,nan,double
ecm,Luenberger,observers,evtol,nominal,1,0.00198881,0.000796348,0.00140306,0.00584353,0.000599251,0,0,0.000814989,478.33,4632,nan,nan,nan,double
ecm,SSKF,observers,evtol,nominal,1,0.00198881,0.000796348,0.00140306,0.00584353,0.000599251,0,0,0.000814989,415.68,4632,nan,nan,nan,double
ecm,PI-Observer,observers,evtol,nominal,1,0.00255938,0.000906441,0.00159054,0.0124344,0.00063242,0,0,0.000873848,1280.01,4824,nan,nan,nan,double
ecm,SMO,observers,evtol,nominal,1,0.00199457,0.000815903,0.00140689,0.00592843,0.000605301,0,0,0.000822091,517.139,4800,nan,nan,nan,double
ecm,SMO-Adaptive,observers,evtol,nominal,1,0.00199126,0.000809212,0.00140531,0.00591551,0.000600177,0,0,0.000818543,511.067,4800,nan,nan,nan,double
