estimator,group,scenario,seed,rms_angle_deg,rms_roll_deg,rms_pitch_deg,rms_yaw_deg,max_angle_deg,ss_rms_angle_deg,conv_time,bias_rmse_dps,diverged,ns_per_step,bytes
Complementary,attitude,nominal,1,5.89188,2.26349,1.13723,5.33489,18.0967,6.64061,-1,0.621873,0,365.302,272
Madgwick,attitude,nominal,1,17.6045,9.04358,1.29471,15.3079,71.2455,18.9769,-1,0.621873,1,111.798,272
Madgwick-Gated,attitude,nominal,1,4.8051,2.06878,1.83563,3.93659,17.1485,6.18389,-1,0.187345,0,139.789,272
Mahony,attitude,nominal,1,18.4568,6.25222,2.94478,17.3629,76.9421,19.2998,27.53,1.2451,1,132.468,312
Mahony-Gated,attitude,nominal,1,1.76512,0.516723,0.49382,1.617,5.67556,1.75212,27.58,0.13037,0,133.14,312
MEKF,attitude,nominal,1,2.11261,0.733799,0.557012,1.89833,14.6991,2.53783,0.01,0.168589,0,2037.08,608
InvariantEKF,attitude,nominal,1,2.13545,0.742258,0.561896,1.91882,14.7408,2.57499,0.01,0.1683,0,1877.3,608
TRIAD,attitude,nominal,1,19.5932,9.3689,1.4505,17.1761,88.6078,21.5959,-1,0.621873,1,129.19,120
QUEST,attitude,nominal,1,19.2273,8.67871,1.43626,17.1811,88.2401,21.1799,-1,0.621873,1,214.495,120
Complementary,attitude,nominal,2,7.30855,3.1556,1.19653,6.43782,19.3831,8.76572,-1,1.06417,0,356.618,272
Madgwick,attitude,nominal,2,17.6205,9.05584,1.28466,15.3122,70.6356,19.0803,-1,1.06417,1,106.74,272
Madgwick-Gated,attitude,nominal,2,7.43053,3.11968,3.28416,5.85615,31.3211,9.37925,-1,0.26658,0,137.097,272
Mahony,attitude,nominal,2,18.2545,6.22924,2.9204,17.1486,74.7213,19.397,28.17,1.2393,1,129.54,312
Mahony-Gated,attitude,nominal,2,2.81813,0.833162,0.795832,2.55495,11.2607,3.01605,28.25,0.161625,0,132.188,312
MEKF,attitude,nominal,2,2.97757,0.965134,0.828364,2.67946,15.9538,3.6685,0,0.180723,0,2020.3,608
InvariantEKF,attitude,nominal,2,2.98675,0.967511,0.830835,2.68794,15.956,3.68014,0,0.180614,0,1915.71,608
TRIAD,attitude,nominal,2,19.5832,9.36866,1.45155,17.1638,85.3673,21.6017,-1,1.06417,1,128.754,120
QUEST,attitude,nominal,2,19.217,8.67839,1.4368,17.1688,84.9803,21.1861,-1,1.06417,1,214.536,120
Complementary,attitude,nominal,3,6.50671,2.91952,1.19969,5.62287,14.9853,8.3257,112.99,1.39263,0,361.649,272
Madgwick,attitude,nominal,3,17.579,9.07806,1.27385,15.2343,72.3811,18.8146,-1,1.39263,1,112.013,272
