estimator,group,profile,scenario,seed,rmse_cells,rmse_min,rmse_mean,rmse_max,max_cell_err,ss_rmse_cells,diverged,ns_per_step,bytes,messages
Decentralized-EKF,pack,evtol,nominal,1,0.0112469,0.0085524,0.0036747,0.00309243,0.0376973,0.0133661,0,5636.11,52032,0
BarDelta,pack,evtol,nominal,1,0.0049721,0.00389559,0.00389811,0.00348587,0.0303832,0.0054775,0,808.127,5616,12
Federated,pack,evtol,nominal,1,0.0044472,0.00337762,0.00309564,0.00364162,0.0303108,0.00421918,0,8345.9,53472,183
Consensus,pack,evtol,nominal,1,0.00701088,0.00739377,0.00453572,0.00735662,0.0255594,0.0071673,0,9290.57,9224,216
InfoFusion,pack,evtol,nominal,1,0.00445906,0.00338334,0.00311338,0.00364625,0.0303108,0.0042404,0,1894.45,5544,12
Decentralized-UKF,pack,evtol,nominal,1,0.012407,0.00705537,0.00370739,0.00558402,0.0479627,0.0138257,0,16792.8,57312,0
Decentralized-ReducedEKF,pack,evtol,nominal,1,0.0149523,0.0155726,0.00420217,0.0138735,0.106226,0.0112336,0,4292.09,51264,0
Decentralized-EKF,pack,evtol,nominal,2,0.0118356,0.0102602,0.00413231,0.00673443,0.0454216,0.0123608,0,5709.81,52032,0
BarDelta,pack,evtol,nominal,2,0.00618043,0.00525688,0.00419638,0.00623471,0.0322159,0.00645096,0,820.471,5616,12
Federated,pack,evtol,nominal,2,0.00580866,0.00385397,0.00347709,0.00591558,0.0321803,0.00604078,0,8310.51,53472,183
Consensus,pack,evtol,nominal,2,0.00693032,0.00430784,0.00525264,0.00586516,0.0320332,0.00727285,0,9173.07,9224,216
InfoFusion,pack,evtol,nominal,2,0.00579053,0.00383885,0.0034437,0.00587835,0.0321803,0.00601126,0,1899.22,5544,12
Decentralized-UKF,pack,evtol,nominal,2,0.0158329,0.0214375,0.00459465,0.0108673,0.0714891,0.0144563,0,16785.6,57312,0
Decentralized-ReducedEKF,pack,evtol,nominal,2,0.0175127,0.0151454,0.00487235,0.0150486,0.102869,0.0134311,0,4190.45,51264,0
Decentralized-EKF,pack,evtol,nominal,3,0.013921,0.00547457,0.00478807,0.00958487,0.0544957,0.0143974,0,5656.03,52032,0
BarDelta,pack,evtol,nominal,3,0.00662788,0.00770539,0.00544542,0.00450819,0.0315903,0.00754508,0,804.951,5616,12
Federated,pack,evtol,nominal,3,0.00615027,0.00716939,0.00482993,0.00423619,0.0300897,0.00663971,0,8387.57,53472,183
Consensus,pack,evtol,nominal,3,0.00591902,0.00515912,0.00357535,0.00420345,0.0261446,0.00548651,0,9387.83,9224,216
InfoFusion,pack,evtol,nominal,3,0.00613133,0.00714519,0.00480689,0.00421535,0.0300897,0.00661766,0,1896.75,5544,12
Decentralized-UKF,pack,evtol,nominal,3,0.0142074,0.00914053,0.00524262,0.00656171,0.050113,0.0146504,0,16715,57312,0
Decentralized-ReducedEKF,pack,evtol,nominal,3,0.021819,0.0251648,0.00811739,0.0155608,0.138525,0.0176317,0,4046.57,51264,0
Decentralized-EKF,pack,evtol,init_error,1,0.0112614,0.00695062,0.00430995,0.00590322,0.0354735,0.013242,0,5622.85,52032,0
BarDelta,pack,evtol,init_error,1,0.00596246,0.00565622,0.00506896,0.00461863,0.0312085,0.00584683,0,809.961,5616,12
Federated,pack,evtol,init_error,1,0.00431778,0.00305309,0.00291116,0.00357106,0.0253218,0.00413405,0,8319.99,53472,183
Consensus,pack,evtol,init_error,1,0.0067371,0.00664603,0.00392439,0.00698488,0.0306277,0.00674847,0,9234.21,9224,216
InfoFusion,pack,evtol,init_error,1,0.00432333,0.00304135,0.00291991,0.00357879,0.0253218,0.00413957,0,1890.65,5544,12
Decentralized-UKF,pack,evtol,init_error,1,0.0142853,0.0098796,0.00579381,0.00458862,0.0380635,0.0152303,0,16661.8,57312,0
Decentralized-ReducedEKF,pack,evtol,init_error,1,0.0149466,0.0153323,0.00413832,0.0138934,0.106478,0.0112336,0,4072.07,51264,0
