plant,estimator,group,profile,scenario,seed,rmse,rmse_ss,mae,max_err,final_err,conv_time,diverged,rmse_v,ns_per_step,bytes,capacity_err_end,bound_violation,bound_width,real_type
spm,CoulombCounting,baselines,evtol,nominal,1,0.00357694,0.00465034,0.00314312,0.00600629,-0.00600629,0,0,0.0103082,75.4645,4184,nan,nan,nan,double
spm,OCVLookup,baselines,evtol,nominal,1,0.0177343,0.0203936,0.0135032,0.0590219,0.0129894,0,0,0.0125993,1310.36,4192,nan,nan,nan,double
spm,CoulombOCVHybrid,baselines,evtol,nominal,1,0.00563073,0.00674087,0.00533042,0.00834767,0.00642022,0,0,0.0109016,204.832,4192,nan,nan,nan,double
spm,EKF,kalman,evtol,nominal,1,0.0382758,0.038929,0.0365737,0.0454297,-0.036338,0,0,0.00100456,458.766,4336,nan,nan,nan,double
spm,UKF,kalman,evtol,nominal,1,0.03448,0.0351513,0.0329394,0.0452885,-0.0325264,0.4,0,0.0012935,1376.68,4776,nan,nan,nan,double
spm,LKF,kalman,evtol,nominal,1,0.0130079,0.0172247,0.0110086,0.0271624,-0.0270754,0,0,0.00104973,340.483,4680,nan,nan,nan,double
spm,IEKF,kalman,evtol,nominal,1,0.0354635,0.0364699,0.0339277,0.0406197,-0.0346738,0,0,0.00101144,578.79,4336,nan,nan,nan,double
spm,CKF,kalman,evtol,nominal,1,0.0475429,0.0464591,0.0457372,0.0625855,-0.042616,0,0,0.00102538,1198.66,4560,nan,nan,nan,double
spm,SCKF,kalman,evtol,nominal,1,0.0475429,0.0464591,0.0457372,0.0625855,-0.042616,0,0,0.00102538,1504.99,4696,nan,nan,nan,double
spm,CKF5,kalman,evtol,nominal,1,0.047284,0.0462839,0.0454715,0.0620669,-0.042593,0.1,0,0.00103353,3911.8,5624,nan,nan,nan,double
spm,CDKF,kalman,evtol,nominal,1,0.047284,0.0462839,0.0454715,0.0620669,-0.042593,0.1,0,0.00103353,1334.23,4312,nan,nan,nan,double
spm,GHKF,kalman,evtol,nominal,1,0.047284,0.0462839,0.0454715,0.0620669,-0.042593,0.1,0,0.00103353,11516.6,10784,nan,nan,nan,double
spm,IPLF,kalman,evtol,nominal,1,0.030174,0.0312812,0.0292195,0.0372407,-0.0298018,0.2,0,0.0013042,1940.1,4784,nan,nan,nan,double
spm,EIF,kalman,evtol,nominal,1,0.0382758,0.038929,0.0365737,0.0454297,-0.036338,0,0,0.00100456,1204.72,4472,nan,nan,nan,double
spm,SR-EKF,kalman,evtol,nominal,1,0.0382758,0.038929,0.0365737,0.0454297,-0.036338,0,0,0.00100456,789.92,4440,nan,nan,nan,double
spm,SR-UKF,kalman,evtol,nominal,1,0.03448,0.0351513,0.0329394,0.0452885,-0.0325264,0.4,0,0.0012935,1465.5,4896,nan,nan,nan,double
spm,UD-EKF,kalman,evtol,nominal,1,0.0382758,0.038929,0.0365737,0.0454297,-0.036338,0,0,0.00100456,480.856,4480,nan,nan,nan,double
spm,SO-EKF,kalman,evtol,nominal,1,0.0354128,0.0363823,0.033847,0.0452933,-0.0347095,0.4,0,0.00124997,3987.67,4496,nan,nan,nan,double
spm,SageHusa-AKF,adaptive_kalman,evtol,nominal,1,0.0315108,0.0321662,0.0301356,0.0375998,-0.0292587,0,0,0.00115395,513.164,4808,nan,nan,nan,double
spm,IAE-AKF,adaptive_kalman,evtol,nominal,1,0.0266976,0.0273647,0.0255712,0.03323,-0.0248762,0,0,0.00151183,471.252,5040,nan,nan,nan,double
spm,VB-AKF,adaptive_kalman,evtol,nominal,1,0.0312104,0.0321963,0.0298566,0.036757,-0.029813,0,0,0.00117661,839.601,4408,nan,nan,nan,double
spm,STF,adaptive_kalman,evtol,nominal,1,0.0101587,0.00578762,0.00667586,0.0590246,0.00655765,0,0,0.000958082,503.033,4680,nan,nan,nan,double
spm,Fading-EKF,adaptive_kalman,evtol,nominal,1,0.00568975,0.00341061,0.0045587,0.01845,0.00330793,0,0,0.00111035,480.435,4384,nan,nan,nan,double
spm,Fuzzy-AKF,adaptive_kalman,evtol,nominal,1,0.0346665,0.0351956,0.0331301,0.0421222,-0.0323073,0,0,0.00138891,700.858,4816,nan,nan,nan,double
spm,IMM,adaptive_kalman,evtol,nominal,1,0.0264702,0.0271705,0.0252559,0.032158,-0.0244701,0,0,0.0010854,1982.42,4976,nan,nan,nan,double
spm,MMAE,adaptive_kalman,evtol,nominal,1,0.0464398,0.046149,0.0443312,0.0559769,-0.037782,0,0,0.00101784,1704.54,13200,-0.0201681,nan,nan,double
spm,Schmidt-KF,robust_kalman,evtol,nominal,1,0.00675029,0.00517127,0.00558373,0.0152328,0.00794236,0,0,0.00748397,1234.22,8856,nan,nan,nan,double
spm,Hinf-EKF,robust_kalman,evtol,nominal,1,0.038202,0.0378944,0.036616,0.046993,0.0351415,0,0,0.00105492,741.885,4408,nan,nan,nan,double
spm,Huber-EKF,robust_kalman,evtol,nominal,1,0.0334023,0.0339955,0.0321532,0.0405791,-0.0311194,0,0,0.00117989,614.174,4368,nan,nan,nan,double
spm,MC-EKF,robust_kalman,evtol,nominal,1,0.0353109,0.0363424,0.0337723,0.0406075,-0.0346533,0,0,0.00104885,936.28,4384,nan,nan,nan,double
spm,StudentT-KF,robust_kalman,evtol,nominal,1,0.0371571,0.0376088,0.0355549,0.0452446,-0.0349685,0,0,0.0012177,672.938,4568,nan,nan,nan,double
spm,Constrained-EKF,robust_kalman,evtol,nominal,1,0.0382758,0.038929,0.0365737,0.0454297,-0.036338,0,0,0.00100456,554.187,4416,nan,nan,nan,double
spm,ReducedOrder-EKF,robust_kalman,evtol,nominal,1,0.00747269,0.00709788,0.00569526,0.017471,0.0111768,0,0,0.00158588,311.055,4272,nan,nan,nan,double
spm,SVSF,robust_kalman,evtol,nominal,1,0.037095,0.0374135,0.0355238,0.0459952,-0.0345554,0,0,0.00104036,553.175,4376,nan,nan,nan,double
spm,Luenberger,observers,evtol,nominal,1,0.0087812,0.00626346,0.00578845,0.0410957,0.00892755,0,0,0.00107843,328.038,4632,nan,nan,nan,double
spm,SSKF,observers,evtol,nominal,1,0.0087812,0.00626346,0.00578845,0.0410957,0.00892755,0,0,0.00107843,320.096,4632,nan,nan,nan,double
spm,PI-Observer,observers,evtol,nominal,1,0.0107754,0.0098955,0.00758764,0.0494965,0.0114945,0,0,0.00106545,1205.17,4824,nan,nan,nan,double
spm,SMO,observers,evtol,nominal,1,0.0088095,0.00613748,0.00574459,0.0417617,0.00870593,0,0,0.00106836,350.404,4800,nan,nan,nan,double
spm,SMO-Adaptive,observers,evtol,nominal,1,0.00872128,0.00597407,0.00565751,0.0414787,0.00843465,0,0,0.0010727,339.93,4800,nan,nan,nan,double
spm,SuperTwisting-SMO,observers,evtol,nominal,1,0.0103835,0.00965825,0.0075267,0.0417698,0.0118728,0,0,0.00281083,133.597,4280,nan,nan,nan,double
spm,HGO,observers,evtol,nominal,1,0.0087812,0.00626346,0.00578845,0.0410957,0.00892755,0,0,0.00107843,333.237,4680,nan,nan,nan,double
spm,ESO,observers,evtol,nominal,1,0.0100616,0.00993509,0.00738732,0.0401511,0.0114836,0,0,0.00102632,1259.33,4784,nan,nan,nan,double
spm,UIO,observers,evtol,nominal,1,0.00831024,0.00466733,0.00637207,0.0254734,0.00633685,0,0,0.00108451,453.715,5072,nan,nan,nan,double
spm,DOB,observers,evtol,nominal,1,0.0088322,0.00700039,0.00630239,0.0382011,0.0115005,0,0,0.00102842,752.397,4784,nan,nan,nan,double
spm,AdaptiveObserver,observers,evtol,nominal,1,0.00875025,0.00455711,0.00584114,0.0376506,0.00734711,0,0,0.000999889,704.459,4864,-0.00011,nan,nan,double
spm,IntervalObserver,observers,evtol,nominal,1,0.0087812,0.00626346,0.00578845,0.0410957,0.00892755,0,0,0.00107843,668.999,9024,nan,0,0.338581,double
spm,JointEKF,soh,evtol,nominal,1,0.0254924,0.0157707,0.0220909,0.0586863,-0.00516052,0,0,0.000809587,1140.76,8752,0.167914,nan,nan,double
spm,JointUKF,soh,evtol,nominal,1,0.0270857,0.0181302,0.0232807,0.0598109,-0.00543985,0.4,0,0.00112836,3038.24,9600,0.156915,nan,nan,double
spm,DualEKF,soh,evtol,nominal,1,0.0159517,0.00685619,0.0123148,0.0324194,0.00544869,0,0,0.000844316,1175.32,4752,0.258194,nan,nan,double
spm,DualUKF,soh,evtol,nominal,1,0.0483654,0.0442721,0.0448268,0.0639902,-0.0193655,0.4,0,0.00117319,2218.9,5512,0.847118,nan,nan,double
spm,RLS-EKF,soh,evtol,nominal,1,0.0422393,0.0430255,0.0405275,0.050381,-0.0405623,0,0,0.000986993,464.206,8904,nan,nan,nan,double
spm,AWTLS,soh,evtol,nominal,1,0.03308,0.0290078,0.0309306,0.0454297,-0.0180152,0,0,0.000999045,460.545,8776,0.274986,nan,nan,double
spm,PF-Bootstrap,particle,evtol,nominal,1,0.00887935,0.00442432,0.00555491,0.0342444,0.00115122,0,0,0.00106837,74498.1,46472,nan,nan,nan,double
spm,PF-Fast,particle,evtol,nominal,1,0.0136798,0.0105317,0.011454,0.0339527,0.0103242,431.6,0,0.00104926,15535.6,9664,nan,nan,nan,double
spm,PF-Regularized,particle,evtol,nominal,1,0.00905138,0.00826767,0.00715933,0.0340872,0.0119677,0,0,0.00106919,79446.4,46464,nan,nan,nan,double
spm,PF-Auxiliary,particle,evtol,nominal,1,0.0101428,0.00997358,0.00787907,0.028762,0.0122954,0,0,0.00116352,100695,54584,nan,nan,nan,double
spm,RBPF,particle,evtol,nominal,1,0.00671885,0.00504428,0.00522876,0.0353282,-0.00607562,0,0,0.00100685,39693.3,34016,nan,nan,nan,double
spm,UPF,particle,evtol,nominal,1,0.0176721,0.0108794,0.0131524,0.0578812,0.00488036,450.3,0,0.0013196,18052.9,25360,nan,nan,nan,double
spm,EnKF,particle,evtol,nominal,1,0.0219728,0.0117801,0.0153396,0.0635763,-0.000969059,0.1,0,0.00102366,9797.09,6776,nan,nan,nan,double
spm,ETKF,particle,evtol,nominal,1,0.0538907,0.0568808,0.0527916,0.0589071,-0.0571117,-1,0,0.00106409,10381.2,5304,nan,nan,nan,double
spm,GSF,particle,evtol,nominal,1,0.0209002,0.015094,0.0176201,0.0461231,-0.0140587,0,0,0.00103572,1667.77,9192,nan,nan,nan,double
spm,NN-Direct,learning,evtol,nominal,1,0.0421989,0.0511721,0.037297,0.110646,0.0103852,0,0,nan,493.408,15152,nan,nan,nan,double
spm,NN-EKF,learning,evtol,nominal,1,0.0240762,0.0251456,0.0237612,0.0266886,-0.0235404,0.1,0,0.00121307,1040.55,4376,nan,nan,nan,double
spm,ELM-RLS-EKF,learning,evtol,nominal,1,0.0266227,0.0274789,0.0255262,0.0311147,-0.025485,0,0,0.000804928,3304.72,11704,nan,nan,nan,double
spm,MHE-RTI,optimization,evtol,nominal,1,0.0415339,0.0426072,0.039953,0.0477425,-0.0363605,0,0,0.0010132,16835.1,26928,nan,nan,nan,double
spm,MHE,optimization,evtol,nominal,1,0.0353053,0.0375001,0.0337302,0.0408028,-0.0361343,0,0,0.00101781,28979.2,26928,nan,nan,nan,double
