T_C,efc,Q_loss,R0_growth
10,20,0.01187,1.02967
10,40,0.01738,1.04345
10,60,0.02173,1.05432
10,80,0.02545,1.06363
10,100,0.02878,1.07195
10,120,0.03182,1.07954
10,140,0.03463,1.08658
10,160,0.03727,1.09318
10,180,0.03977,1.09942
10,200,0.04214,1.10535
10,220,0.04441,1.11102
10,240,0.04659,1.11646
10,260,0.04868,1.12171
10,280,0.05071,1.12677
10,300,0.05267,1.13168
10,320,0.05457,1.13644
10,340,0.05642,1.14106
10,360,0.05823,1.14557
10,380,0.05999,1.14996
10,400,0.06170,1.15425
10,420,0.06338,1.15845
10,440,0.06502,1.16256
10,460,0.06663,1.16658
10,480,0.06821,1.17053
10,500,0.06976,1.17440
10,520,0.07128,1.17820
10,540,0.07278,1.18194
10,560,0.07425,1.18562
10,580,0.07569,1.18924
10,600,0.07712,1.19280
10,620,0.07852,1.19631
10,640,0.07991,1.19977
10,660,0.08127,1.20318
10,680,0.08262,1.20654
10,700,0.08394,1.20986
10,720,0.08526,1.21314
10,740,0.08655,1.21638
10,760,0.08783,1.21957
10,780,0.08909,1.22273
10,800,0.09034,1.22586
10,820,0.09158,1.22895
10,840,0.09280,1.23200
10,860,0.09401,1.23502
10,880,0.09521,1.23801
10,900,0.09639,1.24097
10,920,0.09756,1.24391
10,940,0.09872,1.24681
10,960,0.09987,1.24968
10,980,0.10101,1.25253
10,1000,0.10214,1.25535
25,20,0.02337,1.05841
25,40,0.03422,1.08555
25,60,0.04278,1.10694
25,80,0.05011,1.12528
25,100,0.05666,1.14165
25,120,0.06264,1.15660
25,140,0.06818,1.17046
25,160,0.07338,1.18345
25,180,0.07829,1.19573
25,200,0.08297,1.20741
25,220,0.08743,1.21858
25,240,0.09172,1.22930
25,260,0.09585,1.23962
25,280,0.09984,1.24959
25,300,0.10370,1.25925
25,320,0.10745,1.26862
25,340,0.11109,1.27773
25,360,0.11464,1.28660
25,380,0.11810,1.29525
25,400,0.12148,1.30370
25,420,0.12478,1.31196
25,440,0.12802,1.32005
25,460,0.13119,1.32797
25,480,0.13430,1.33574
25,500,0.13735,1.34336
25,520,0.14034,1.35085
25,540,0.14328,1.35821
25,560,0.14618,1.36545
25,580,0.14903,1.37257
25,600,0.15183,1.37959
25,620,0.15460,1.38650
25,640,0.15732,1.39330
25,660,0.16001,1.40002
25,680,0.16266,1.40664
25,700,0.16527,1.41318
25,720,0.16785,1.41963
25,740,0.17040,1.42600
25,760,0.17292,1.43230
25,780,0.17541,1.43852
25,800,0.17787,1.44467
25,820,0.18030,1.45075
25,840,0.18271,1.45676
25,860,0.18509,1.46272
25,880,0.18744,1.46860
25,900,0.18977,1.47443
25,920,0.19208,1.48020
25,940,0.19437,1.48592
25,960,0.19663,1.49158
25,980,0.19887,1.49719
25,1000,0.20110,1.50274
45,20,0.05220,1.13051
45,40,0.07645,1.19114
45,60,0.09557,1.23892
45,80,0.11196,1.27990
45,100,0.12659,1.31647
45,120,0.13995,1.34986
45,140,0.15233,1.38083
45,160,0.16395,1.40986
45,180,0.17492,1.43730
45,200,0.18536,1.46340
45,220,0.19534,1.48835
45,240,0.20492,1.51229
45,260,0.21414,1.53535
45,280,0.22305,1.55763
45,300,0.23168,1.57920
45,320,0.24005,1.60014
45,340,0.24820,1.62049
45,360,0.25612,1.64031
45,380,0.26386,1.65964
45,400,0.27141,1.67852
45,420,0.27879,1.69698
45,440,0.28602,1.71504
45,460,0.29310,1.73274
45,480,0.30004,1.75010
45,500,0.30685,1.76714
45,520,0.31355,1.78387
45,540,0.32012,1.80031
45,560,0.32659,1.81648
45,580,0.33296,1.83240
45,600,0.33923,1.84806
45,620,0.34540,1.86350
45,640,0.35149,1.87871
45,660,0.35749,1.89371
45,680,0.36340,1.90851
45,700,0.36925,1.92311
45,720,0.37501,1.93753
45,740,0.38071,1.95177
45,760,0.38633,1.96583
45,780,0.39189,1.97973
45,800,0.39739,1.99347
45,820,0.40282,2.00706
45,840,0.40820,2.02050
45,860,0.41352,2.03379
45,880,0.41878,2.04695
45,900,0.42399,2.05997
45,920,0.42914,2.07286
45,940,0.43425,2.08563
45,960,0.43931,2.09827
45,980,0.44432,2.11080
45,1000,0.44929,2.12321
