T_C,days,Q_loss
10,0,0.00000
10,10,0.00348
10,20,0.00492
10,30,0.00603
10,40,0.00696
10,50,0.00778
10,60,0.00852
10,70,0.00921
10,80,0.00984
10,90,0.01044
10,100,0.01100
10,110,0.01154
10,120,0.01205
10,130,0.01255
10,140,0.01302
10,150,0.01348
10,160,0.01392
10,170,0.01435
10,180,0.01476
10,190,0.01517
10,200,0.01556
10,210,0.01594
10,220,0.01632
10,230,0.01669
10,240,0.01705
10,250,0.01740
10,260,0.01774
10,270,0.01808
10,280,0.01841
10,290,0.01874
10,300,0.01906
10,310,0.01937
10,320,0.01968
10,330,0.01999
10,340,0.02029
10,350,0.02058
10,360,0.02088
10,370,0.02116
10,380,0.02145
10,390,0.02173
10,400,0.02201
10,410,0.02228
10,420,0.02255
10,430,0.02282
10,440,0.02308
10,450,0.02334
10,460,0.02360
10,470,0.02385
10,480,0.02411
10,490,0.02436
10,500,0.02460
10,510,0.02485
10,520,0.02509
10,530,0.02533
10,540,0.02557
10,550,0.02580
10,560,0.02604
10,570,0.02627
10,580,0.02650
10,590,0.02673
10,600,0.02695
10,610,0.02718
10,620,0.02740
10,630,0.02762
10,640,0.02784
10,650,0.02805
10,660,0.02827
10,670,0.02848
10,680,0.02869
10,690,0.02890
10,700,0.02911
10,710,0.02932
10,720,0.02952
10,730,0.02973
25,0,0.00000
25,10,0.00587
25,20,0.00831
25,30,0.01017
25,40,0.01175
25,50,0.01313
25,60,0.01439
25,70,0.01554
25,80,0.01661
25,90,0.01762
25,100,0.01857
25,110,0.01948
25,120,0.02035
25,130,0.02118
25,140,0.02198
25,150,0.02275
25,160,0.02349
25,170,0.02422
25,180,0.02492
25,190,0.02560
25,200,0.02627
25,210,0.02692
25,220,0.02755
25,230,0.02817
25,240,0.02877
25,250,0.02937
25,260,0.02995
25,270,0.03052
25,280,0.03108
25,290,0.03163
25,300,0.03217
25,310,0.03270
25,320,0.03322
25,330,0.03374
25,340,0.03425
25,350,0.03475
25,360,0.03524
25,370,0.03573
25,380,0.03621
25,390,0.03668
25,400,0.03715
25,410,0.03761
25,420,0.03806
25,430,0.03851
25,440,0.03896
25,450,0.03940
25,460,0.03984
25,470,0.04027
25,480,0.04069
25,490,0.04111
25,500,0.04153
25,510,0.04194
25,520,0.04235
25,530,0.04276
25,540,0.04316
25,550,0.04356
25,560,0.04395
25,570,0.04434
25,580,0.04473
25,590,0.04511
25,600,0.04549
25,610,0.04587
25,620,0.04625
25,630,0.04662
25,640,0.04699
25,650,0.04735
25,660,0.04772
25,670,0.04808
25,680,0.04843
25,690,0.04879
25,700,0.04914
25,710,0.04949
25,720,0.04984
25,730,0.05018
45,0,0.00000
45,10,0.01093
45,20,0.01546
45,30,0.01894
45,40,0.02186
45,50,0.02445
45,60,0.02678
45,70,0.02892
45,80,0.03092
45,90,0.03280
45,100,0.03457
45,110,0.03626
45,120,0.03787
45,130,0.03942
45,140,0.04090
45,150,0.04234
45,160,0.04373
45,170,0.04507
45,180,0.04638
45,190,0.04765
45,200,0.04889
45,210,0.05010
45,220,0.05128
45,230,0.05243
45,240,0.05356
45,250,0.05466
45,260,0.05574
45,270,0.05681
45,280,0.05785
45,290,0.05887
45,300,0.05988
45,310,0.06087
45,320,0.06184
45,330,0.06280
45,340,0.06375
45,350,0.06468
45,360,0.06559
45,370,0.06650
45,380,0.06739
45,390,0.06827
45,400,0.06914
45,410,0.07000
45,420,0.07085
45,430,0.07169
45,440,0.07252
45,450,0.07334
45,460,0.07415
45,470,0.07495
45,480,0.07574
45,490,0.07653
45,500,0.07730
45,510,0.07807
45,520,0.07883
45,530,0.07959
45,540,0.08034
45,550,0.08108
45,560,0.08181
45,570,0.08254
45,580,0.08326
45,590,0.08397
45,600,0.08468
45,610,0.08538
45,620,0.08608
45,630,0.08677
45,640,0.08746
45,650,0.08814
45,660,0.08881
45,670,0.08948
45,680,0.09015
45,690,0.09081
45,700,0.09147
45,710,0.09212
45,720,0.09276
45,730,0.09341
