T_C,R0,R1,R2,tau1,tau2,R0_spmfit,R1_spmfit,R2_spmfit
-20,0.050353,0.036034,0.068763,30.028,720.671,0.040484,0.007100,0.052275
-18,0.046739,0.032830,0.061495,27.358,656.604,0.037553,0.006661,0.044683
-16,0.043435,0.029955,0.055090,24.962,599.099,0.034874,0.006255,0.038286
-14,0.040409,0.027370,0.049436,22.808,547.404,0.032423,0.005880,0.032884
-12,0.037637,0.025043,0.044436,20.869,500.861,0.030179,0.005532,0.028310
-10,0.035092,0.022945,0.040006,19.121,458.895,0.028120,0.005210,0.024427
-8,0.032754,0.021050,0.036075,17.542,421.001,0.026230,0.004911,0.021124
-6,0.030603,0.019337,0.032581,16.114,386.735,0.024492,0.004634,0.018308
-4,0.028623,0.017785,0.029470,14.821,355.706,0.022893,0.004375,0.015900
-2,0.026797,0.016379,0.026696,13.649,327.570,0.021419,0.004135,0.013838
0,0.025111,0.015101,0.024217,12.584,302.025,0.020060,0.003911,0.012068
2,0.023554,0.013940,0.022000,11.617,278.800,0.018805,0.003702,0.010546
4,0.022114,0.012883,0.020014,10.736,257.659,0.017645,0.003507,0.009233
6,0.020781,0.011919,0.018231,9.933,238.390,0.016572,0.003325,0.008099
8,0.019545,0.011040,0.016630,9.200,220.806,0.015578,0.003155,0.007118
10,0.018399,0.010237,0.015189,8.531,204.740,0.014656,0.002996,0.006267
12,0.017335,0.009502,0.013890,7.919,190.045,0.013801,0.002847,0.005528
14,0.016346,0.008829,0.012718,7.358,176.588,0.013006,0.002707,0.004884
16,0.015426,0.008213,0.011659,6.844,164.250,0.012267,0.002576,0.004323
18,0.014569,0.007646,0.010702,6.372,152.927,0.011580,0.002453,0.003832
20,0.013770,0.007126,0.009834,5.938,142.523,0.010939,0.002337,0.003403
22,0.013026,0.006648,0.009047,5.540,132.953,0.010342,0.002228,0.003027
24,0.012330,0.006207,0.008333,5.173,124.143,0.009785,0.002126,0.002697
26,0.011681,0.005801,0.007683,4.834,116.022,0.009265,0.002030,0.002406
28,0.011073,0.005427,0.007091,4.522,108.530,0.008779,0.001939,0.002150
30,0.010505,0.005081,0.006552,4.234,101.612,0.008324,0.001853,0.001924
32,0.009973,0.004761,0.006061,3.967,95.216,0.007899,0.001772,0.001724
34,0.009474,0.004465,0.005612,3.721,89.299,0.007500,0.001696,0.001548
36,0.009006,0.004191,0.005201,3.492,83.819,0.007126,0.001624,0.001391
38,0.008566,0.003937,0.004825,3.281,78.739,0.006775,0.001556,0.001252
40,0.008154,0.003701,0.004481,3.084,74.026,0.006446,0.001491,0.001128
42,0.007766,0.003483,0.004165,2.902,69.650,0.006137,0.001430,0.001018
44,0.007401,0.003279,0.003875,2.733,65.583,0.005846,0.001373,0.000920
46,0.007057,0.003090,0.003608,2.575,61.800,0.005572,0.001318,0.000832
48,0.006734,0.002914,0.003363,2.428,58.279,0.005314,0.001266,0.000754
50,0.006429,0.002750,0.003137,2.292,54.998,0.005071,0.001216,0.000684
52,0.006141,0.002597,0.002929,2.164,51.938,0.004842,0.001170,0.000621
54,0.005869,0.002454,0.002736,2.045,49.084,0.004626,0.001125,0.000564
56,0.005613,0.002321,0.002559,1.934,46.418,0.004422,0.001083,0.000514
58,0.005370,0.002196,0.002395,1.830,43.926,0.004229,0.001043,0.000468
60,0.005141,0.002080,0.002244,1.733,41.596,0.004047,0.001004,0.000427
