z,v_hyst,branch
1.0000,0.004986,discharge
0.9972,0.003691,discharge
0.9944,0.002564,discharge
0.9916,0.001583,discharge
0.9889,0.000730,discharge
0.9861,-0.000013,discharge
0.9833,-0.000660,discharge
0.9805,-0.001223,discharge
0.9778,-0.001713,discharge
0.9750,-0.002139,discharge
0.9722,-0.002510,discharge
0.9694,-0.002833,discharge
0.9666,-0.003114,discharge
0.9639,-0.003358,discharge
0.9611,-0.003571,discharge
0.9583,-0.003757,discharge
0.9555,-0.003918,discharge
0.9528,-0.004058,discharge
0.9500,-0.004180,discharge
0.9472,-0.004287,discharge
0.9444,-0.004379,discharge
0.9416,-0.004460,discharge
0.9389,-0.004530,discharge
0.9361,-0.004591,discharge
0.9333,-0.004644,discharge
0.9305,-0.004690,discharge
0.9278,-0.004730,discharge
0.9250,-0.004765,discharge
0.9222,-0.004796,discharge
0.9194,-0.004822,discharge
0.9166,-0.004845,discharge
0.9139,-0.004865,discharge
0.9111,-0.004883,discharge
0.9083,-0.004898,discharge
0.9055,-0.004911,discharge
0.9028,-0.004923,discharge
0.9000,-0.004933,discharge
0.8972,-0.004941,discharge
0.8944,-0.004949,discharge
0.8916,-0.004956,discharge
0.8889,-0.004961,discharge
0.8861,-0.004966,discharge
0.8833,-0.004971,discharge
0.8805,-0.004975,discharge
0.8778,-0.004978,discharge
0.8750,-0.004981,discharge
0.8722,-0.004983,discharge
0.8694,-0.004985,discharge
0.8666,-0.004987,discharge
0.8639,-0.004989,discharge
0.8611,-0.004990,discharge
0.8583,-0.004992,discharge
0.8555,-0.004993,discharge
0.8528,-0.004994,discharge
0.8500,-0.004994,discharge
0.8472,-0.004995,discharge
0.8444,-0.004996,discharge
0.8416,-0.004996,discharge
0.8389,-0.004997,discharge
0.8361,-0.004997,discharge
0.8333,-0.004998,discharge
0.8305,-0.004998,discharge
0.8278,-0.004998,discharge
0.8250,-0.004998,discharge
0.8222,-0.004999,discharge
0.8194,-0.004999,discharge
0.8166,-0.004999,discharge
0.8139,-0.004999,discharge
