z,ocv,docv_dz,dUdT,x_n,U_n,y_p,U_p
0.0000,2.853526,12.645137,-0.00020000,0.04342,0.761124,0.84259,3.614650
0.0010,2.865971,12.247271,-0.00019970,0.04427,0.749142,0.84201,3.615114
0.0020,2.878025,11.862955,-0.00019940,0.04513,0.737552,0.84144,3.615577
0.0030,2.889702,11.491757,-0.00019910,0.04599,0.726339,0.84087,3.616040
0.0040,2.901013,11.133257,-0.00019880,0.04685,0.715490,0.84030,3.616504
0.0050,2.911972,10.787053,-0.00019850,0.04771,0.704995,0.83972,3.616967
0.0060,2.922591,10.452755,-0.00019821,0.04856,0.694839,0.83915,3.617430
0.0070,2.932882,10.129987,-0.00019791,0.04942,0.685012,0.83858,3.617893
0.0080,2.942855,9.818387,-0.00019761,0.05028,0.675502,0.83800,3.618357
0.0090,2.952522,9.517607,-0.00019731,0.05114,0.666298,0.83743,3.618820
0.0100,2.961894,9.227309,-0.00019702,0.05200,0.657390,0.83686,3.619283
0.0110,2.970980,8.947168,-0.00019672,0.05285,0.648766,0.83629,3.619746
0.0120,2.979791,8.676872,-0.00019642,0.05371,0.640419,0.83571,3.620210
0.0130,2.988337,8.416119,-0.00019613,0.05457,0.632336,0.83514,3.620673
0.0140,2.996627,8.164620,-0.00019583,0.05543,0.624510,0.83457,3.621136
0.0150,3.004669,7.922094,-0.00019553,0.05629,0.616930,0.83400,3.621600
0.0160,3.012474,7.688272,-0.00019524,0.05714,0.609589,0.83342,3.622063
0.0170,3.020049,7.462895,-0.00019494,0.05800,0.602478,0.83285,3.622526
0.0180,3.027402,7.245714,-0.00019465,0.05886,0.595587,0.83228,3.622989
0.0190,3.034543,7.036488,-0.00019435,0.05972,0.588910,0.83171,3.623453
0.0200,3.041478,6.834987,-0.00019406,0.06058,0.582438,0.83113,3.623916
0.0210,3.048215,6.640988,-0.00019377,0.06143,0.576164,0.83056,3.624379
0.0220,3.054762,6.454279,-0.00019347,0.06229,0.570080,0.82999,3.624843
0.0230,3.061126,6.274654,-0.00019318,0.06315,0.564180,0.82942,3.625306
0.0240,3.067314,6.101916,-0.00019289,0.06401,0.558455,0.82884,3.625769
0.0250,3.073332,5.935876,-0.00019259,0.06487,0.552900,0.82827,3.626233
0.0260,3.079188,5.776352,-0.00019230,0.06572,0.547508,0.82770,3.626696
0.0270,3.084887,5.623169,-0.00019201,0.06658,0.542272,0.82713,3.627159
0.0280,3.090436,5.476160,-0.00019172,0.06744,0.537186,0.82655,3.627622
0.0290,3.095841,5.335163,-0.00019143,0.06830,0.532245,0.82598,3.628086
0.0300,3.101108,5.200024,-0.00019113,0.06916,0.527441,0.82541,3.628549
0.0310,3.106243,5.070594,-0.00019084,0.07001,0.522769,0.82484,3.629012
0.0320,3.111251,4.946731,-0.00019055,0.07087,0.518224,0.82426,3.629476
0.0330,3.116138,4.828298,-0.00019026,0.07173,0.513801,0.82369,3.629939
0.0340,3.120910,4.715163,-0.00018997,0.07259,0.509493,0.82312,3.630402
0.0350,3.125570,4.607199,-0.00018968,0.07345,0.505295,0.82255,3.630866
0.0360,3.130126,4.504285,-0.00018939,0.07430,0.501203,0.82197,3.631329
0.0370,3.134581,4.406304,-0.00018911,0.07516,0.497212,0.82140,3.631792
0.0380,3.138940,4.313141,-0.00018882,0.07602,0.493316,0.82083,3.632256
0.0390,3.143209,4.224688,-0.00018853,0.07688,0.489510,0.82025,3.632719
0.0400,3.147391,4.140839,-0.00018824,0.07774,0.485791,0.81968,3.633182
0.0410,3.151492,4.061491,-0.00018795,0.07859,0.482154,0.81911,3.633646
0.0420,3.155515,3.986544,-0.00018766,0.07945,0.478593,0.81854,3.634109
0.0430,3.159466,3.915901,-0.00018738,0.08031,0.475106,0.81796,3.634572
0.0440,3.163349,3.849468,-0.00018709,0.08117,0.471687,0.81739,3.635036
0.0450,3.167167,3.787149,-0.00018680,0.08203,0.468332,0.81682,3.635499
0.0460,3.170924,3.728855,-0.00018652,0.08288,0.465038,0.81625,3.635962
0.0470,3.174626,3.674492,-0.00018623,0.08374,0.461800,0.81567,3.636426
0.0480,3.178275,3.623972,-0.00018595,0.08460,0.458614,0.81510,3.636889
0.0490,3.181875,3.577203,-0.00018566,0.08546,0.455477,0.81453,3.637352
0.0500,3.185430,3.534095,-0.00018538,0.08632,0.452385,0.81396,3.637816
0.0510,3.188944,3.494557,-0.00018509,0.08717,0.449335,0.81338,3.638279
0.0520,3.192420,3.458495,-0.00018481,0.08803,0.446322,0.81281,3.638742
0.0530,3.195862,3.425817,-0.00018452,0.08889,0.443343,0.81224,3.639206
0.0540,3.199273,3.396425,-0.00018424,0.08975,0.440396,0.81167,3.639669
0.0550,3.202656,3.370220,-0.00018395,0.09061,0.437476,0.81109,3.640132
0.0560,3.206015,3.347102,-0.00018367,0.09146,0.434581,0.81052,3.640596
0.0570,3.209351,3.326965,-0.00018339,0.09232,0.431708,0.80995,3.641059
0.0580,3.212669,3.309700,-0.00018310,0.09318,0.428853,0.80938,3.641523
0.0590,3.215972,3.295194,-0.00018282,0.09404,0.426014,0.80880,3.641986
0.0600,3.219261,3.283329,-0.00018254,0.09490,0.423189,0.80823,3.642449
0.0610,3.222539,3.273983,-0.00018226,0.09575,0.420373,0.80766,3.642913
0.0620,3.225810,3.267028,-0.00018198,0.09661,0.417567,0.80709,3.643376
0.0630,3.229074,3.262330,-0.00018170,0.09747,0.414765,0.80651,3.643839
0.0640,3.232335,3.259751,-0.00018141,0.09833,0.411968,0.80594,3.644303
0.0650,3.235594,3.259146,-0.00018113,0.09919,0.409172,0.80537,3.644766
0.0660,3.238854,3.260365,-0.00018085,0.10004,0.406376,0.80479,3.645230
0.0670,3.242115,3.263250,-0.00018057,0.10090,0.403578,0.80422,3.645693
0.0680,3.245381,3.267640,-0.00018029,0.10176,0.400776,0.80365,3.646156
0.0690,3.248651,3.273368,-0.00018001,0.10262,0.397969,0.80308,3.646620
0.0700,3.251928,3.280259,-0.00017974,0.10347,0.395155,0.80250,3.647083
0.0710,3.255212,3.288135,-0.00017946,0.10433,0.392335,0.80193,3.647547
0.0720,3.258504,3.296814,-0.00017918,0.10519,0.389506,0.80136,3.648010
0.0730,3.261806,3.306110,-0.00017890,0.10605,0.386668,0.80079,3.648474
0.0740,3.265117,3.315831,-0.00017862,0.10691,0.383820,0.80021,3.648937
0.0750,3.268438,3.325786,-0.00017834,0.10776,0.380963,0.79964,3.649400
0.0760,3.271768,3.335779,-0.00017807,0.10862,0.378096,0.79907,3.649864
0.0770,3.275109,3.345617,-0.00017779,0.10948,0.375218,0.79850,3.650327
0.0780,3.278460,3.355105,-0.00017751,0.11034,0.372331,0.79792,3.650791
0.0790,3.281819,3.364049,-0.00017724,0.11120,0.369435,0.79735,3.651254
0.0800,3.285187,3.372258,-0.00017696,0.11205,0.366530,0.79678,3.651718
0.0810,3.288563,3.379547,-0.00017668,0.11291,0.363618,0.79621,3.652181
0.0820,3.291946,3.385734,-0.00017641,0.11377,0.360699,0.79563,3.652645
0.0830,3.295334,3.390643,-0.00017613,0.11463,0.357774,0.79506,3.653108
0.0840,3.298727,3.394107,-0.00017586,0.11549,0.354845,0.79449,3.653572
0.0850,3.302122,3.395968,-0.00017558,0.11634,0.351913,0.79392,3.654035
0.0860,3.305518,3.396079,-0.00017531,0.11720,0.348980,0.79334,3.654499
0.0870,3.308914,3.394303,-0.00017504,0.11806,0.346049,0.79277,3.654962
0.0880,3.312306,3.390515,-0.00017476,0.11892,0.343119,0.79220,3.655426
0.0890,3.315694,3.384607,-0.00017449,0.11978,0.340195,0.79163,3.655889
0.0900,3.319075,3.376481,-0.00017422,0.12063,0.337278,0.79105,3.656353
0.0910,3.322446,3.366058,-0.00017394,0.12149,0.334370,0.79048,3.656816
0.0920,3.325806,3.353273,-0.00017367,0.12235,0.331474,0.78991,3.657280
0.0930,3.329152,3.338078,-0.00017340,0.12321,0.328591,0.78934,3.657743
0.0940,3.332481,3.320440,-0.00017313,0.12407,0.325725,0.78876,3.658207
0.0950,3.335792,3.300346,-0.00017285,0.12492,0.322878,0.78819,3.658670
0.0960,3.339081,3.277795,-0.00017258,0.12578,0.320053,0.78762,3.659134
0.0970,3.342347,3.252807,-0.00017231,0.12664,0.317251,0.78704,3.659598
0.0980,3.345586,3.225416,-0.00017204,0.12750,0.314475,0.78647,3.660061
0.0990,3.348797,3.195669,-0.00017177,0.12836,0.311728,0.78590,3.660525
0.1000,3.351977,3.163632,-0.00017150,0.12921,0.309012,0.78533,3.660988
0.1010,3.355123,3.129382,-0.00017123,0.13007,0.306329,0.78475,3.661452
0.1020,3.358235,3.093009,-0.00017096,0.13093,0.303681,0.78418,3.661915
0.1030,3.361309,3.054616,-0.00017069,0.13179,0.301070,0.78361,3.662379
0.1040,3.364343,3.014314,-0.00017042,0.13265,0.298499,0.78304,3.662843
0.1050,3.367337,2.972226,-0.00017015,0.13350,0.295970,0.78246,3.663306
0.1060,3.370287,2.928480,-0.00016989,0.13436,0.293483,0.78189,3.663770
0.1070,3.373193,2.883213,-0.00016962,0.13522,0.291041,0.78132,3.664234
0.1080,3.376053,2.836566,-0.00016935,0.13608,0.288644,0.78075,3.664697
0.1090,3.378866,2.788683,-0.00016908,0.13694,0.286295,0.78017,3.665161
0.1100,3.381630,2.739712,-0.00016882,0.13779,0.283994,0.77960,3.665625
0.1110,3.384345,2.689803,-0.00016855,0.13865,0.281743,0.77903,3.666088
0.1120,3.387009,2.639102,-0.00016828,0.13951,0.279543,0.77846,3.666552
0.1130,3.389623,2.587758,-0.00016802,0.14037,0.277393,0.77788,3.667016
0.1140,3.392185,2.535917,-0.00016775,0.14123,0.275295,0.77731,3.667479
0.1150,3.394695,2.483720,-0.00016748,0.14208,0.273248,0.77674,3.667943
0.1160,3.397152,2.431305,-0.00016722,0.14294,0.271255,0.77617,3.668407
0.1170,3.399557,2.378807,-0.00016695,0.14380,0.269313,0.77559,3.668871
0.1180,3.401910,2.326352,-0.00016669,0.14466,0.267425,0.77502,3.669334
0.1190,3.404210,2.274064,-0.00016642,0.14552,0.265588,0.77445,3.669798
0.1200,3.406458,2.222056,-0.00016616,0.14637,0.263804,0.77388,3.670262
0.1210,3.408654,2.170439,-0.00016590,0.14723,0.262071,0.77330,3.670726
0.1220,3.410799,2.119314,-0.00016563,0.14809,0.260390,0.77273,3.671190
0.1230,3.412893,2.068775,-0.00016537,0.14895,0.258760,0.77216,3.671653
0.1240,3.414937,2.018908,-0.00016511,0.14981,0.257180,0.77159,3.672117
0.1250,3.416931,1.969793,-0.00016484,0.15066,0.255650,0.77101,3.672581
0.1260,3.418877,1.921503,-0.00016458,0.15152,0.254168,0.77044,3.673045
0.1270,3.420774,1.874101,-0.00016432,0.15238,0.252734,0.76987,3.673509
0.1280,3.422625,1.827646,-0.00016406,0.15324,0.251347,0.76929,3.673973
0.1290,3.424430,1.782188,-0.00016380,0.15410,0.250006,0.76872,3.674437
0.1300,3.426190,1.737770,-0.00016353,0.15495,0.248711,0.76815,3.674900
0.1310,3.427906,1.694432,-0.00016327,0.15581,0.247458,0.76758,3.675364
0.1320,3.429579,1.652203,-0.00016301,0.15667,0.246249,0.76700,3.675828
0.1330,3.431211,1.611110,-0.00016275,0.15753,0.245082,0.76643,3.676292
0.1340,3.432802,1.571172,-0.00016249,0.15839,0.243954,0.76586,3.676756
0.1350,3.434353,1.532405,-0.00016223,0.15924,0.242867,0.76529,3.677220
0.1360,3.435867,1.494818,-0.00016197,0.16010,0.241817,0.76471,3.677684
0.1370,3.437344,1.458419,-0.00016172,0.16096,0.240805,0.76414,3.678148
0.1380,3.438784,1.423207,-0.00016146,0.16182,0.239828,0.76357,3.678612
0.1390,3.440190,1.389182,-0.00016120,0.16268,0.238886,0.76300,3.679076
0.1400,3.441563,1.356338,-0.00016094,0.16353,0.237977,0.76242,3.679540
0.1410,3.442903,1.324666,-0.00016068,0.16439,0.237101,0.76185,3.680005
0.1420,3.444213,1.294155,-0.00016042,0.16525,0.236256,0.76128,3.680469
0.1430,3.445492,1.264791,-0.00016017,0.16611,0.235441,0.76071,3.680933
0.1440,3.446743,1.236559,-0.00015991,0.16697,0.234654,0.76013,3.681397
0.1450,3.447966,1.209440,-0.00015965,0.16782,0.233896,0.75956,3.681861
0.1460,3.449162,1.183416,-0.00015940,0.16868,0.233163,0.75899,3.682325
0.1470,3.450333,1.158465,-0.00015914,0.16954,0.232457,0.75842,3.682789
0.1480,3.451479,1.134565,-0.00015889,0.17040,0.231775,0.75784,3.683254
0.1490,3.452602,1.111692,-0.00015863,0.17126,0.231116,0.75727,3.683718
0.1500,3.453703,1.089824,-0.00015838,0.17211,0.230479,0.75670,3.684182
0.1510,3.454782,1.068935,-0.00015812,0.17297,0.229864,0.75613,3.684646
0.1520,3.455841,1.049001,-0.00015787,0.17383,0.229270,0.75555,3.685111
0.1530,3.456881,1.029996,-0.00015761,0.17469,0.228695,0.75498,3.685575
0.1540,3.457901,1.011894,-0.00015736,0.17555,0.228138,0.75441,3.686040
0.1550,3.458905,0.994670,-0.00015710,0.17640,0.227599,0.75383,3.686504
0.1560,3.459891,0.978297,-0.00015685,0.17726,0.227077,0.75326,3.686968
0.1570,3.460861,0.962752,-0.00015660,0.17812,0.226571,0.75269,3.687433
0.1580,3.461817,0.948008,-0.00015634,0.17898,0.226080,0.75212,3.687897
0.1590,3.462758,0.934039,-0.00015609,0.17984,0.225604,0.75154,3.688362
0.1600,3.463685,0.920823,-0.00015584,0.18069,0.225141,0.75097,3.688826
0.1610,3.464600,0.908333,-0.00015559,0.18155,0.224691,0.75040,3.689291
0.1620,3.465502,0.896546,-0.00015534,0.18241,0.224253,0.74983,3.689755
0.1630,3.466393,0.885440,-0.00015509,0.18327,0.223827,0.74925,3.690220
0.1640,3.467273,0.874990,-0.00015483,0.18413,0.223411,0.74868,3.690685
0.1650,3.468143,0.865174,-0.00015458,0.18498,0.223006,0.74811,3.691149
0.1660,3.469004,0.855972,-0.00015433,0.18584,0.222610,0.74754,3.691614
0.1670,3.469855,0.847360,-0.00015408,0.18670,0.222223,0.74696,3.692079
0.1680,3.470699,0.839320,-0.00015383,0.18756,0.221845,0.74639,3.692543
0.1690,3.471534,0.831830,-0.00015358,0.18842,0.221474,0.74582,3.693008
0.1700,3.472362,0.824872,-0.00015333,0.18927,0.221111,0.74525,3.693473
0.1710,3.473184,0.818426,-0.00015309,0.19013,0.220754,0.74467,3.693938
0.1720,3.473999,0.812474,-0.00015284,0.19099,0.220403,0.74410,3.694403
0.1730,3.474809,0.806999,-0.00015259,0.19185,0.220059,0.74353,3.694868
0.1740,3.475614,0.801984,-0.00015234,0.19271,0.219719,0.74296,3.695333
0.1750,3.476413,0.797412,-0.00015209,0.19356,0.219384,0.74238,3.695798
0.1760,3.477209,0.793267,-0.00015185,0.19442,0.219054,0.74181,3.696263
