z,v_hyst,branch
1.0000,0.015000,major_down
0.9990,0.015000,major_down
0.9980,0.015000,major_down
0.9970,0.015000,major_down
0.9960,0.015000,major_down
0.9950,0.015000,major_down
0.9940,0.015000,major_down
0.9930,0.015000,major_down
0.9920,0.015000,major_down
0.9910,0.015000,major_down
0.9900,0.015000,major_down
0.9890,0.015000,major_down
0.9880,0.015000,major_down
0.9870,0.015000,major_down
0.9860,0.015000,major_down
0.9850,0.015000,major_down
0.9840,0.015000,major_down
0.9830,0.015000,major_down
0.9820,0.015000,major_down
0.9810,0.015000,major_down
0.9800,0.015000,major_down
0.9790,0.015000,major_down
0.9780,0.015000,major_down
0.9770,0.015000,major_down
0.9760,0.015000,major_down
0.9750,0.015000,major_down
0.9740,0.015000,major_down
0.9730,0.015000,major_down
0.9720,0.015000,major_down
0.9710,0.015000,major_down
0.9700,0.015000,major_down
0.9690,0.015000,major_down
0.9680,0.015000,major_down
0.9670,0.014728,major_down
0.9660,0.014728,major_down
0.9650,0.014728,major_down
0.9640,0.014728,major_down
0.9630,0.014728,major_down
0.9620,0.014728,major_down
0.9610,0.014728,major_down
0.9600,0.014728,major_down
0.9590,0.014728,major_down
0.9580,0.014728,major_down
0.9570,0.014728,major_down
0.9560,0.014728,major_down
0.9550,0.014728,major_down
0.9540,0.014728,major_down
0.9530,0.014728,major_down
0.9520,0.014728,major_down
0.9510,0.014728,major_down
0.9500,0.014728,major_down
0.9490,0.014728,major_down
0.9480,0.014728,major_down
0.9470,0.014728,major_down
0.9460,0.014728,major_down
0.9450,0.014728,major_down
0.9440,0.014728,major_down
0.9430,0.014728,major_down
0.9420,0.014728,major_down
0.9410,0.014728,major_down
0.9400,0.014728,major_down
0.9390,0.014728,major_down
0.9380,0.014728,major_down
0.9370,0.014728,major_down
0.9360,0.014728,major_down
0.9350,0.014218,major_down
0.9340,0.014218,major_down
0.9330,0.014218,major_down
0.9320,0.014218,major_down
0.9310,0.014218,major_down
0.9300,0.014218,major_down
0.9290,0.014218,major_down
0.9280,0.014218,major_down
0.9270,0.014218,major_down
0.9260,0.014218,major_down
0.9250,0.014218,major_down
0.9240,0.014218,major_down
0.9230,0.014218,major_down
0.9220,0.014218,major_down
0.9210,0.014218,major_down
0.9200,0.014218,major_down
0.9190,0.014218,major_down
0.9180,0.014218,major_down
0.9170,0.014218,major_down
0.9160,0.014218,major_down
0.9150,0.014218,major_down
0.9140,0.014218,major_down
0.9130,0.014218,major_down
0.9120,0.014218,major_down
0.9110,0.014218,major_down
0.9100,0.014218,major_down
0.9090,0.014218,major_down
0.9080,0.014218,major_down
0.9070,0.014218,major_down
0.9060,0.014218,major_down
0.9050,0.014218,major_down
0.9040,0.014218,major_down
0.9030,0.013520,major_down
0.9020,0.013520,major_down
0.9010,0.013520,major_down
0.9000,0.013520,major_down
0.8990,0.013520,major_down
0.8980,0.013520,major_down
0.8970,0.013520,major_down
0.8960,0.013520,major_down
0.8950,0.013520,major_down
0.8940,0.013520,major_down
0.8930,0.013520,major_down
0.8920,0.013520,major_down
0.8910,0.013520,major_down
0.8900,0.013520,major_down
0.8890,0.013520,major_down
0.8880,0.013520,major_down
0.8870,0.013520,major_down
0.8860,0.013520,major_down
0.8850,0.013520,major_down
0.8840,0.013520,major_down
0.8830,0.013520,major_down
0.8820,0.013520,major_down
0.8810,0.013520,major_down
0.8800,0.013520,major_down
0.8790,0.013520,major_down
0.8780,0.013520,major_down
0.8770,0.013520,major_down
0.8760,0.013520,major_down
0.8750,0.013520,major_down
0.8740,0.013520,major_down
0.8730,0.013520,major_down
0.8720,0.013520,major_down
0.8710,0.013520,major_down
0.8700,0.012686,major_down
0.8690,0.012686,major_down
0.8680,0.012686,major_down
0.8670,0.012686,major_down
0.8660,0.012686,major_down
0.8650,0.012686,major_down
0.8640,0.012686,major_down
0.8630,0.012686,major_down
0.8620,0.012686,major_down
0.8610,0.012686,major_down
0.8600,0.012686,major_down
0.8590,0.012686,major_down
0.8580,0.012686,major_down
0.8570,0.012686,major_down
0.8560,0.012686,major_down
0.8550,0.012686,major_down
0.8540,0.012686,major_down
0.8530,0.012686,major_down
0.8520,0.012686,major_down
0.8510,0.012686,major_down
0.8500,0.012686,major_down
0.8490,0.012686,major_down
0.8480,0.012686,major_down
0.8470,0.012686,major_down
0.8460,0.012686,major_down
0.8450,0.012686,major_down
0.8440,0.012686,major_down
0.8430,0.012686,major_down
0.8420,0.012686,major_down
0.8410,0.012686,major_down
0.8400,0.012686,major_down
0.8390,0.012686,major_down
0.8380,0.011763,major_down
0.8370,0.011763,major_down
0.8360,0.011763,major_down
0.8350,0.011763,major_down
0.8340,0.011763,major_down
0.8330,0.011763,major_down
0.8320,0.011763,major_down
0.8310,0.011763,major_down
0.8300,0.011763,major_down
0.8290,0.011763,major_down
0.8280,0.011763,major_down
0.8270,0.011763,major_down
0.8260,0.011763,major_down
0.8250,0.011763,major_down
0.8240,0.011763,major_down
0.8230,0.011763,major_down
0.8220,0.011763,major_down
0.8210,0.011763,major_down
0.8200,0.011763,major_down
0.8190,0.011763,major_down
0.8180,0.011763,major_down
0.8170,0.011763,major_down
0.8160,0.011763,major_down
0.8150,0.011763,major_down
0.8140,0.011763,major_down
0.8130,0.011763,major_down
0.8120,0.011763,major_down
0.8110,0.011763,major_down
0.8100,0.011763,major_down
0.8090,0.011763,major_down
0.8080,0.011763,major_down
0.8070,0.011763,major_down
0.8060,0.010785,major_down
0.8050,0.010785,major_down
0.8040,0.010785,major_down
0.8030,0.010785,major_down
0.8020,0.010785,major_down
0.8010,0.010785,major_down
0.8000,0.010785,major_down
0.7990,0.010785,major_down
0.7980,0.010785,major_down
0.7970,0.010785,major_down
0.7960,0.010785,major_down
0.7950,0.010785,major_down
0.7940,0.010785,major_down
0.7930,0.010785,major_down
0.7920,0.010785,major_down
0.7910,0.010785,major_down
0.7900,0.010785,major_down
0.7890,0.010785,major_down
0.7880,0.010785,major_down
0.7870,0.010785,major_down
0.7860,0.010785,major_down
0.7850,0.010785,major_down
0.7840,0.010785,major_down
0.7830,0.010785,major_down
