t,i,v,soc,x_surf,y_surf,T
0.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
1.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
2.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
3.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
4.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
5.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
6.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
7.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
8.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
9.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
10.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
11.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
12.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
13.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
14.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
15.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
16.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
17.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
18.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
19.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
20.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
21.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
22.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
23.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
24.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
25.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
26.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
27.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
28.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
29.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
30.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
31.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
32.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
33.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
34.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
35.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
36.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
37.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
38.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
39.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
40.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
41.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
42.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
43.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
44.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
45.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
46.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
47.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
48.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
49.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
50.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
51.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
52.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
53.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
54.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
55.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
56.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
57.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
58.0,0.00,4.180938,1.000000,0.901400,0.270000,25.000
